id,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
e3e32fbb,Igor Carioca,br BRA,"DF,MF",Lorient,26-202,1996,1.4,10,6,7,2,1,7,11,63.6,4,2,0,2,1,11,2,0,Matches
8608f269,Matis Carvalho,pt POR,GK,Montpellier,23-317,1999,1.5,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,Matches
e0f3a1f6,Jean-Charles Castelletto,cm CMR,DF,Nantes,28-044,1995,18.5,33,19,24,8,1,18,27,66.7,9,22,14,8,42,75,59,0,Matches
4db5915d,Yoann Cathline,fr FRA,"FW,MF",Lorient,20-232,2002,7.9,11,6,5,3,3,2,4,50.0,2,5,0,5,6,17,6,1,Matches
c92c24f0,Maximiliano Caufriez,be BEL,DF,Clermont Foot,26-023,1997,15.4,20,11,15,5,0,13,18,72.2,5,23,11,12,24,44,53,0,Matches
3c6bbbab,Fabien Centonze,fr FRA,DF,Nantes,27-054,1996,11.2,29,20,16,12,1,18,25,72.0,7,13,6,7,31,60,28,0,Matches
f5dfc256,Leonardo César Jardim,br BRA,GK,Lille,27-356,1995,6.0,,0,,,,,,,,,,,0,,,,Matches
5d9577aa,Florian Chabrolle,fr FRA,MF,Ajaccio,24-338,1998,3.6,6,4,1,5,0,2,3,66.7,1,3,0,3,6,12,1,0,Matches
2180c761,El Chadaille Bitshiabu,fr FRA,DF,Paris S-G,17-299,2005,2.5,7,4,5,1,1,1,4,25.0,3,5,3,2,7,14,4,1,Matches
357103bd,Fares Chaïbi,fr FRA,"FW,MF",Toulouse,20-103,2002,17.7,20,10,4,9,7,10,33,30.3,23,23,3,20,12,32,16,1,Matches
18ebca4b,Gaëtan Charbonnier,fr FRA,"FW,MF",Auxerre,34-074,1988,2.8,2,1,0,2,0,0,4,0.0,4,2,0,2,0,2,5,0,Matches
16aa7d4c,Brendan Chardonnet,fr FRA,DF,Brest,28-079,1994,17.5,29,17,18,11,0,12,21,57.1,9,25,11,14,36,65,49,1,Matches
279ddf6a,Xavier Chavalerin,fr FRA,MF,Troyes,32-004,1991,19.0,59,35,24,24,11,24,54,44.4,30,20,5,15,29,88,13,0,Matches
