id,MP,Min,90s,Starts,Compl,Subs,unSub,PPM,onG,onGA,+/-,On-Off,onxG,onxGA,xG+/-,On-Off.1,MinGK,MPGK,StartsGK,90sGK
5eaed77a,28,2279,25.3,27,22,1,7,0.71,14,31.0,-17.0,0.59,21.3,34.3,-13.0,-0.21,0,0,0,0.0
5ec698c3,0,0,0.0,0,0,0,3,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
5ef2aa3e,0,0,0.0,0,0,0,2,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
5efc5389,28,1817,20.2,21,12,7,9,0.79,17,36.0,-19.0,-0.1,15.7,32.0,-16.3,-0.49,0,0,0,0.0
5fa57166,22,1543,17.2,17,12,5,10,3.58,22,24.0,-2.0,1.52,20.900000000000002,22.6,-1.8000000000000003,0.4,0,0,0,0.0
5fd5ed86,33,2890,32.1,33,29,0,1,1.33,39,30.0,9.0,0.96,42.8,30.4,12.4,0.82,0,0,0,0.0
601ef102,2,22,0.2,0,0,2,0,2.0,2,0.0,2.0,8.16,0.9,0.2,0.7,3.18,0,0,0,0.0
61228681,0,0,0.0,0,0,0,3,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
614c38fb,21,1143,12.7,12,3,9,11,0.43,8,26.0,-18.0,-0.35,10.2,23.6,-13.3,-0.44,0,0,0,0.0
61975f30,0,0,0.0,0,0,0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
61b3978f,35,2946,32.7,35,25,0,0,1.03,43,51.0,-8.0,1.46,31.2,48.1,-16.9,-0.05,0,0,0,0.0
620922ed,20,1108,12.3,9,8,11,18,1.71,11,27.0,-16.0,-1.21,10.8,22.5,-11.7,-0.83,0,0,0,0.0
6213fd82,25,1772,19.7,22,13,3,1,1.0,18,31.0,-13.0,0.27,19.2,31.7,-12.5,0.01,0,0,0,0.0
62437b4f,28,1204,13.4,11,1,17,7,1.14,15,23.0,-8.0,-1.04,16.7,19.7,-3.0,-0.31,0,0,0,0.0
62af9a62,0,0,0.0,0,0,0,2,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
649b01d8,29,2560,28.4,29,27,0,7,1.0,36,48.0,-12.0,0.1,27.3,43.1,-15.9,-0.19,2560,29,29,28.4
64cd167d,14,930,10.3,11,5,3,4,0.71,6,19.0,-13.0,-0.54,6.4,17.1,-10.7,-0.81,0,0,0,0.0
64e8ed6d,5,96,1.1,1,0,4,11,1.2,2,0.0,2.0,1.5,2.7,1.1,1.6,0.8,0,0,0,0.0
