,id,MP,Min,90s,Starts,Compl,Subs,unSub,PPM,onG,onGA,+/-,onxG,onxGA,xG+/-,MinGK,MPGK,StartsGK,90sGK
135,326d09ef,36,3240,36,36,35,0,1,0,29,71,-42,32.4,65.9,-33.5,0,0,0,0
136,32a33c68,7,412,4,4,2,3,31,0,2,10,-8,3.0,6.3,-3.3,0,0,0,0
137,32b9b5fa,32,2880,32,32,31,0,5,1,41,52,-11,37.1,41.1,-4.0,0,0,0,0
138,32d1c24f,17,1392,15,16,12,1,14,0,14,37,-23,15.6,29.6,-14.0,0,0,0,0
139,32ebfe1e,38,3029,33,34,22,4,0,0,32,60,-28,28.2,50.1,-21.9,0,0,0,0
140,331c0a43,35,2918,32,33,25,2,2,1,25,44,-19,41.1,39.7,1.4,0,0,0,0
141,339c6ed4,14,1077,12,10,9,4,24,1,16,19,-3,17.7,16.1,1.6,0,0,0,0
142,339fe0e8,38,3420,38,38,38,0,0,1,89,49,40,63.7,43.9,19.9,0,0,0,0
143,33b8d077,31,1926,21,21,14,10,3,1,42,15,27,33.8,19.8,14.0,0,0,0,0
144,33ecf462,18,360,4,2,1,16,18,1,5,11,-6,6.4,7.9,-1.4,0,0,0,0
145,343c0d52,38,2998,33,36,23,2,0,1,48,41,7,46.2,35.7,10.4,0,0,0,0
146,343f753a,1,90,1,1,1,0,37,1,0,0,0,0.7,0.5,0.2,0,0,0,0
147,349601c3,1,90,1,1,1,0,37,0,0,1,-1,1.1,1.6,-0.6,0,0,0,0
148,3535098b,22,1608,17,20,10,2,8,1,23,17,6,23.7,19.8,3.9,0,0,0,0
149,356c9002,36,2537,28,33,9,3,2,1,49,26,23,39.3,29.7,9.6,0,0,0,0
150,3626daea,18,1503,16,17,13,1,2,1,26,19,7,29.2,16.5,12.8,0,0,0,0
151,3630db1a,0,0,0,0,0,0,10,0,0,0,0,0.0,0.0,0.0,0,0,0,0
152,3799e138,11,642,7,7,6,4,5,1,7,9,-2,5.3,12.7,-7.5,0,0,0,0
153,384dd218,28,1794,19,20,13,8,5,1,24,27,-3,19.9,25.3,-5.4,0,0,0,0
154,3858e611,21,1507,16,17,13,4,13,1,16,24,-8,15.6,23.8,-8.2,0,0,0,0
155,38ac43d3,26,1912,21,24,12,2,5,2,50,15,35,27.8,16.3,11.6,0,0,0,0
156,38d15057,0,0,0,0,0,0,37,0,0,0,0,0.0,0.0,0.0,0,0,0,0
157,39bec070,17,1101,12,11,9,6,19,0,6,23,-17,9.9,20.1,-10.1,0,0,0,0
158,3a8b9635,0,0,0,0,0,0,2,0,0,0,0,0.0,0.0,0.0,0,0,0,0
159,3b15ef2d,20,1755,19,19,19,1,13,2,40,8,32,26.2,12.6,13.6,0,0,0,0
160,3b333ac3,33,2398,26,26,21,7,4,1,38,28,10,42.9,26.6,16.3,0,0,0,0
161,3b57f7f8,11,775,8,9,5,2,20,1,19,15,4,12.1,10.9,1.2,0,0,0,0
162,3b61c9ec,0,0,0,0,0,0,8,0,0,0,0,0.0,0.0,0.0,0,0,0,0
163,3b8674e6,20,581,6,5,3,15,17,2,18,7,11,11.9,5.5,6.5,0,0,0,0
164,3b9858f5,4,170,1,2,0,2,9,0,1,5,-4,1.2,3.4,-2.2,0,0,0,0
