,id,MP,Min,90s,Starts,Compl,Subs,unSub,PPM,onG,onGA,+/-,onxG,onxGA,xG+/-,MinGK,MPGK,StartsGK,90sGK
448,a39bb753,3,99,1,1,0,2,18,3,3,1,2,2.6,0.6,2.0,0,0,0,0
449,a3e4bf46,23,1915,21,23,16,0,0,1,25,31,-6,25.0,26.7,-1.7,0,0,0,0
450,a45eac1f,5,187,2,1,0,4,0,1,4,2,2,3.1,3.9,-0.9,0,0,0,0
451,a461f098,1,5,0,0,0,1,2,1,0,0,0,0.2,0.0,0.2,0,0,0,0
452,a4971d84,22,1896,21,22,19,0,0,0,19,30,-11,16.1,22.5,-6.4,0,0,0,0
453,a4995f48,11,990,11,11,11,0,11,1,10,13,-3,13.7,11.4,2.3,0,0,0,0
454,a4b00319,24,2080,23,23,22,1,0,1,26,32,-6,26.9,25.2,1.7,0,0,0,0
455,a55d8df5,19,1003,11,10,6,9,5,1,14,7,7,16.2,13.9,2.3,0,0,0,0
456,a56da3ba,18,1443,16,16,15,2,5,1,15,18,-3,18.0,18.0,0.0,0,0,0,0
457,a6103274,14,275,3,2,0,12,4,2,2,6,-4,4.300000000000001,6.800000000000001,-2.5,0,0,0,0
458,a62b4888,14,304,3,2,0,12,11,1,2,8,-6,2.9,4.7,-1.8,0,0,0,0
459,a6951bf8,16,748,8,9,1,7,1,1,10,6,4,11.0,11.0,0.0,0,0,0,0
460,a6de370d,19,1500,16,17,11,2,0,1,22,20,2,22.4,23.1,-0.7,0,0,0,0
461,a83c19cf,9,342,3,3,0,6,4,1,2,3,-1,6.0,2.9,3.0,0,0,0,0
462,a8981944,23,1742,19,22,5,1,0,1,25,31,-6,22.0,28.8,-6.8,0,0,0,0
463,a8f21b9f,23,1197,13,13,3,10,1,1,14,15,-1,14.2,15.4,-1.2,0,0,0,0
464,a98f3cbf,0,0,0,0,0,0,3,0,0,0,0,0.0,0.0,0.0,0,0,0,0
465,a9aff11a,0,0,0,0,0,0,2,0,0,0,0,0.0,0.0,0.0,0,0,0,0
466,aa677a35,22,1392,15,16,9,6,1,1,12,19,-7,14.3,22.7,-8.5,0,0,0,0
467,aad53e64,14,549,6,6,0,8,10,1,9,8,1,5.5,7.1,-1.6,0,0,0,0
468,ab7bf91d,17,1445,16,16,16,1,3,1,21,13,8,21.0,14.1,6.9,0,0,0,0
469,abe66106,20,1272,14,13,6,7,2,0,12,24,-12,14.6,25.7,-11.0,0,0,0,0
470,ac295d9e,3,225,2,2,2,1,19,0,1,3,-2,2.4,3.6,-1.2,0,0,0,0
471,ac454a4f,22,1604,17,18,9,4,0,0,13,37,-24,16.7,38.1,-21.4,0,0,0,0
472,ac8b2421,18,1435,15,17,12,1,2,0,12,32,-20,13.9,33.7,-19.8,0,0,0,0
473,acc1aefa,18,984,10,11,3,7,7,1,15,13,2,10.6,11.7,-1.2,0,0,0,0
474,ace50e9f,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0
475,ad6df2d5,0,0,0,0,0,0,4,0,0,0,0,0.0,0.0,0.0,0,0,0,0
476,adfc9123,6,384,4,4,3,2,7,3,9,1,8,11.4,3.7,7.8,0,0,0,0
477,ae48c5cb,11,590,6,6,1,5,7,1,10,11,-1,9.9,7.8,2.1,0,0,0,0
478,ae852b7d,2,56,0,0,0,2,11,0,2,3,-1,1.1,1.3,-0.2,0,0,0,0
479,ae86d473,16,436,4,3,0,13,3,0,9,7,2,7.3,7.6,-0.3,0,0,0,0
480,af34f10d,2,53,0,0,0,2,2,1,0,0,0,0.2,0.3,-0.1,0,0,0,0
481,afdc14d7,23,1814,20,22,8,1,0,1,30,19,11,26.4,17.3,9.1,0,0,0,0
482,b05e2dbd,18,1540,17,18,13,0,0,0,18,22,-4,21.8,23.1,-1.3,0,0,0,0
483,b0616e3d,12,865,9,11,6,1,7,1,8,8,0,9.1,13.4,-4.3,0,0,0,0
484,b0fce72c,23,1673,18,18,15,5,0,1,22,19,3,22.8,16.1,6.7,0,0,0,0
485,b151a3f2,1,1,0,0,0,1,3,1,0,0,0,0.0,0.0,0.0,0,0,0,0
486,b19db005,18,1100,12,14,3,4,0,2,25,5,20,23.5,9.8,13.7,0,0,0,0
487,b2cd9dff,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0
488,b3b9b8b8,1,2,0,0,0,1,2,3,0,0,0,0.0,0.1,0.0,0,0,0,0
489,b3dc6eca,8,462,5,4,4,4,13,2,7,7,0,9.6,6.4,3.1,0,0,0,0
490,b3f62bfc,2,6,0,0,0,2,1,1,1,0,1,1.6,0.1,1.5,0,0,0,0
491,b418dbd4,23,637,7,4,0,19,1,1,10,8,2,10.8,7.4,3.4,0,0,0,0
492,b51b1b9c,21,1549,17,19,8,2,0,0,19,20,-1,21.6,20.8,0.8,0,0,0,0
493,b6e50615,15,1216,13,14,12,1,1,0,9,16,-7,13.6,12.6,1.1,0,0,0,0
