id,MP,Min,90s,Starts,Compl,Subs,unSub,PPM,onG,onGA,+/-,onxG,onxGA,xG+/-,MinGK,MPGK,StartsGK,90sGK
57c433c8,14,306,3,0,0,14,4,1,5,11,-6,4.5,7.8,-3.3,0,0,0,0
57df7a11,27,1870,20,21,13,6,5,1,27,29,-2,21.2,27.3,-6.1,0,0,0,0
580d52dd,27,1641,18,20,11,7,6,0,13,30,-17,15.8,23.3,-7.5,0,0,0,0
59bf127b,29,2126,23,24,20,5,5,2,37,20,17,31.4,21.5,9.9,0,0,0,0
59e6e5bf,32,1882,20,18,13,14,1,1,26,29,-3,23.9,29.0,-5.1,0,0,0,0
5a1900a4,37,2570,28,28,20,9,1,0,18,39,-21,24.4,44.3,-20.0,0,0,0,0
5a4280b1,16,1440,16,16,16,0,22,1,14,21,-7,13.0,22.4,-9.4,0,0,0,0
5acc4a10,23,1542,17,18,13,5,13,1,15,29,-14,18.5,23.3,-4.8,0,0,0,0
5b54bf3b,5,260,2,2,0,3,6,0,3,3,0,2.4,4.9,-2.5,0,0,0,0
5bddccc9,19,1329,14,17,6,2,1,1,12,23,-11,12.3,18.6,-6.3,0,0,0,0
5be28712,6,366,4,4,3,2,16,1,9,7,2,7.3,5.1,2.1,0,0,0,0
5c2b4f07,17,1429,15,16,14,1,13,2,35,12,23,30.5,9.7,20.8,0,0,0,0
5dbefa9d,30,1845,20,19,11,11,4,1,20,41,-21,20.9,34.4,-13.5,0,0,0,0
5eae500a,34,2867,31,33,30,1,0,2,63,26,37,49.6,35.6,14.0,0,0,0,0
5eebbfdf,13,1023,11,13,6,0,4,1,13,9,4,14.2,12.0,2.2,0,0,0,0
5eecec3d,18,1302,14,16,11,2,4,2,44,11,33,30.7,8.5,22.2,0,0,0,0
5f09991f,28,2184,24,25,21,3,8,1,31,38,-7,32.2,34.7,-2.5,0,0,0,0
601ef102,15,453,5,3,0,12,3,0,9,12,-3,7.1,8.5,-1.5,0,0,0,0
61abe9b6,15,707,7,8,4,7,0,0,3,8,-5,5.5,9.7,-4.1,0,0,0,0
6265208f,30,1712,19,19,4,11,4,1,20,25,-5,18.5,26.2,-7.7,0,0,0,0
62a0089e,3,37,0,0,0,3,5,1,1,0,1,1.0,0.8,0.2,0,0,0,0
636f1a28,0,0,0,0,0,0,25,0,0,0,0,0.0,0.0,0.0,0,0,0,0
63d17038,1,90,1,1,1,0,1,3,1,0,1,0.9,0.8,0.0,90,1,1,1
6421ec64,36,3039,33,36,26,0,1,0,30,58,-28,31.6,54.3,-22.7,0,0,0,0
64b08de7,4,205,2,3,0,1,0,0,0,6,-6,1.6,5.3,-3.7,0,0,0,0
653ee42d,36,3240,36,36,36,0,0,1,34,50,-16,34.9,48.1,-13.2,0,0,0,0
67d23ab0,33,2452,27,27,17,6,3,1,22,39,-17,24.4,29.3,-4.9,0,0,0,0
6813ac34,37,3289,36,37,35,0,0,1,45,62,-17,34.3,50.6,-16.3,0,0,0,0
68796d61,27,1324,14,17,2,10,2,1,25,19,6,21.2,18.7,2.5,0,0,0,0
691bef82,7,362,4,4,3,3,11,3,11,0,11,8.3,2.5,5.9,0,0,0,0
6992791d,19,1286,14,17,5,2,0,1,18,22,-4,14.0,24.2,-10.2,0,0,0,0
6adbc307,22,1980,22,22,21,0,5,0,19,33,-14,21.2,27.9,-6.7,0,0,0,0
6b47c5db,33,2898,32,33,30,0,0,1,46,44,2,41.4,39.5,1.9,0,0,0,0
6c679c6d,33,2421,26,27,16,6,1,1,28,29,-1,26.5,30.9,-4.4,0,0,0,0
6c7762c3,0,0,0,0,0,0,16,0,0,0,0,0.0,0.0,0.0,0,0,0,0
6c96b263,4,168,1,1,1,3,2,1,0,4,-4,0.5,4.1,-3.6,0,0,0,0
6ca5ec4b,26,1830,20,22,5,4,10,1,36,26,10,35.6,25.5,10.2,0,0,0,0
6cc47ae1,6,224,2,3,0,3,6,0,3,8,-5,3.3,5.6,-2.3,0,0,0,0
6cdd8245,23,1902,21,22,17,1,0,1,30,31,-1,27.4,27.7,-0.3,0,0,0,0
6d6f09dc,6,163,1,1,0,5,4,0,1,2,-1,1.8,1.1,0.7,0,0,0,0
6dfd5af0,24,1307,14,16,3,8,7,1,12,21,-9,13.0,22.3,-9.3,0,0,0,0
6ea97fd5,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0
6eaed4eb,24,2103,23,24,23,0,4,1,24,32,-8,23.5,32.0,-8.6,0,0,0,0
6fd8a334,11,769,8,7,6,4,18,1,10,14,-4,10.8,10.0,0.8,0,0,0,0
715fc0fe,16,851,9,11,2,5,4,0,9,14,-5,10.1,12.4,-2.3,0,0,0,0
71672fa0,34,3039,33,34,33,0,1,1,64,48,16,60.3,43.1,17.3,3039,34,34,33
71ef519e,35,2804,31,32,21,3,3,1,35,35,0,36.5,41.4,-4.9,0,0,0,0
72c812f3,33,2751,30,32,24,1,1,1,38,42,-4,32.1,40.1,-8.1,0,0,0,0
7314bba4,37,3292,36,37,35,0,0,1,32,52,-20,35.1,48.2,-13.1,0,0,0,0
73489527,24,1997,22,24,12,0,0,1,18,17,1,15.9,28.6,-12.8,0,0,0,0
7358a89a,0,0,0,0,0,0,2,0,0,0,0,0.0,0.0,0.0,0,0,0,0
