id,Player,Nation
7abbf224,Morgan Feeney,eng ENG
bece776f,Nabil Fekir,fr FRA
15d0c248,Luiz Felipe,it ITA
507c7bdf,Bruno Fernandes,pt POR
13ac19de,Manuel Fernandes,pt POR
7c1a0c67,Mário Fernandes,ru RUS
34c3ec17,Fernando,br BRA
6407ce4d,Hélder Ferreira,pt POR
b073f5ea,Ricardo Ferreira,ca CAN
375622c5,Jordan Ferri,fr FRA
3e587547,Diogo Figueiras,pt POR
b653b65b,Lucian Filip,ro ROU
1321d6f0,Egor Filipenko,by BLR
908eea67,Petar Filipović,de GER
d31c4115,Volkan Fındıklı,tr TUR
b5920350,Viktor Fischer,dk DEN
d4f8f243,Moryké Fofana,ci CIV
5b0b23dc,Navarone Foor,nl NED
82927de4,Pablo Fornals,es ESP
e73659d3,James Forrest,sct SCO
9a2e0ccc,Emil Forsberg,se SWE
eb3f56e5,Rafael Forster,br BRA
42a6cc47,Riccardo Forte,it ITA
729e3e14,Kerim Frei,tr TUR
98d2c2c4,Remo Freuler,ch SUI
1a105265,Patrick Friday Eze,ng NGA
35bec436,Kevin Friesenbichler,at AUT
768667c0,Ludvig Fritzson,se SWE
ceb30355,Michal Frydrych,cz CZE
2e8fc160,Javi Fuego,es ESP
65d750b5,Gabi,es ESP
6cd38213,Filip Gačevski,mk MKD
7ebfac0f,Nicolás Gaitán,ar ARG
6419c6f7,Zoran Gajić,rs SRB
a8327abd,Konstantinos Galanopoulos,gr GRE
b4825073,Rodrigo Galo Brito,br BRA
cf41510e,Valerică Găman,ro ROU
42276181,Kévin Gameiro,fr FRA
72c812f3,Idrissa Gana Gueye,sn SEN
23c63b7f,Ignatius Ganago,cm CMR
b418dbd4,Raúl García,es ESP
e978d6b6,Victor García,sv SLV
fb5d47b3,Mario Gaspar,es ESP
b9747ada,Enis Gavazaj,al ALB
aad9c3f3,Mario Gavranović,ch SUI
37f606f0,Dennis Geiger,de GER
ea0ff634,Valère Germain,fr FRA
c699e60c,Alexander Gerndt,se SWE
61ae3d36,Alhaji Gero,ng NGA
494bff86,Alex Gersbach,au AUS
9836e892,Willem Geubbels,fr FRA
f7b1d4e0,Saman Ghoddos,ir IRN
8d3d3b0a,Giorgos Giakoumakis,gr GRE
16ceb862,Olivier Giroud,fr FRA
d757fd45,Nikola Gligorov,mk MKD
10a81962,Darko Glišić,mk MKD
af8cabe1,Petar Gluhakovic,at AUT
c67b8590,Denis Glushakov,ru RUS
88e357ef,Serge Gnabry,de GER
aec6b711,Harlem Gnohéré,fr FRA
50c1ff86,Marko Gobeljić,rs SRB
fc4f85b1,Diego Godín,uy URU
0e5753c7,Marcelo Goiano,br BRA
5db295be,Eyal Golasa,il ISR
1db295e5,Vladimir Golemić,si SVN
fc3f41aa,Cătălin Golofca,ro ROU
3708e9fa,Aleksandr Golovin,ru RUS
d5ce52a5,Gustavo Gómez,py PAR
6e4df551,Papu Gómez,ar ARG
42dcf26d,Álvaro González,es ESP
62e4f112,Derlis González,py PAR
d189e48f,Mario González,es ESP
b4541446,Sergi González,es ESP
83b9c48f,Jacek Góralski,pl POL
20c1ef47,Mikhail Gordeichuk,by BLR
2bd83368,Anthony Gordon,eng ENG
f33238db,Astemir Gordyushenko,ru RUS
03de83d9,David Goresh,il ISR
c7e0f364,Alexander Gorgon,at AUT
6f5f82c0,Andoni Gorosabel,es ESP
2d970560,Robin Gosens,de GER
9efa1d25,Mario Götze,de GER
aad56ca3,Amine Gouiri,fr FRA
e373f1ec,Srđan Grahovac,ba BIH
7d974435,Ján Greguš,sk SVK
df69b544,Antoine Griezmann,fr FRA
ffbbc83b,Florian Grillitsch,at AUT
a1a9ef78,Boban Grnčarov,mk MKD
07a0baa9,Ramiro Guerra,uy URU
048a1cbc,Raphaël Guerreiro,pt POR
923f4dda,Sehrou Guirassy,gn GUI
bcb2ccd8,Péter Gulácsi,hu HUN
b686f4c0,Fredrik Gulbrandsen,no NOR
b583aef5,Mert Günok,tr TUR
82671804,Luiz Gustavo,br BRA
0174ba21,Robin Hack,de GER
549922a7,Osman Hadzikic,at AUT
92432bc6,Amadou Haidara,ml MLI
6c228bb6,Guy Haimov,il ISR
29102874,Tomáš Hájek,cz CZE
5db2faf1,Brian Hamalainen,dk DEN
c76153e5,Hovhannes Hambardzumyan,am ARM
e6ad16b2,Marek Hamšík,sk SVK
ebc49727,Sofiane Hanni,dz ALG
5e91ddf8,André Hansen,no NOR
f24ea523,Genki Haraguchi,jp JPN
bfc5768b,Denys Harmash,ua UKR
3b333ac3,Hans Hateboer,nl NED
8454388c,Milan Havel,cz CZE
281659b5,Vital Hayduchyk,by BLR
d552c4a1,Héber,br BRA
c2009df3,Jonas Hector,de GER
169fd162,Hwang Hee-chan,kr KOR
699fb8db,Dominique Heintz,de GER
61f63784,Lukáš Hejda,cz CZE
c3ee18ef,Lucas Hernández,fr FRA
9109185e,Iago Herrerín,es ESP
8f299faf,Michaël Heylen,be BEL
f814f0f1,Josef Hnaníček,cz CZE
cff7dcb0,Guillaume Hoarau,fr FRA
4114f306,Marco Höger,de GER
d79a8c87,Rob Holding,eng ENG
d0042ab9,Mason Holgate,eng ENG
e248e62f,Carlo Holse,dk DEN
6809ec76,Daniel Holzer,cz CZE
2f9c21da,Raphael Holzhauser,at AUT
816192f0,Justin Hoogma,nl NED
d2ee6d5b,Jamie Hopcutt,eng ENG
d02e0cab,Tomáš Hořava,cz CZE
3db34c8e,Artem Hordiyenko,ua UKR
2b83fa49,Jannes Horn,de GER
3cd9e95a,Timo Horn,de GER
29aee77c,Fraser Hornby,sct SCO
951f1739,André Horta,pt POR
6603fed7,Ricardo Horta,pt POR
a47e7ecd,Dmytro Hrechyshkin,ua UKR
ae3e6d85,Jakub Hromada,sk SVK
06eae126,Artem Hromov,ua UKR
f2d063ec,Patrik Hrošovský,sk SVK
f4eb377b,Aleš Hruška,cz CZE
99de6b6f,Benjamin Hübner,de GER
4cc82fe1,Roman Hubník,cz CZE
10d58a78,Paolo Hurtado,pe PER
3d68d631,Josef Hušbauer,cz CZE
e32721e6,Oleh Husyev,ua UKR
2f3452eb,Elseid Hysaj,al ALB
c3fd9887,Vedad Ibišević,ba BIH
ed60d19f,Abdullahi Ibrahim Alhassan,ng NGA
04f2ed4d,Sergei Ignashevich,ru RUS
5cb1d026,Vladislav Ignatyev,ru RUS
504a654c,Saša Ilić,rs SRB
68252d6d,Josip Iličić,si SVN
5ce0b5ba,Asier Illarramendi,es ESP
8494acc4,Stefan Ilsanker,at AUT
4431aed2,Ciro Immobile,it ITA
3200c583,Gökhan Inler,ch SUI
2f557579,Lorenzo Insigne,it ITA
8e92be30,Alexander Isak,se SWE
721608e5,Dino Islamović,me MNE
6dce77a5,Ander Iturraspe,es ESP
4c82730b,Mirko Ivanić,me MNE
85f8571a,Branislav Ivanović,rs SRB
1668b4b1,Đorđe Ivanović,rs SRB
d045ccb2,Andreas Ivanschitz,at AUT
6ca5ec4b,Alex Iwobi,ng NGA
3233eefd,Phil Jagielka,eng ENG
b2ec3323,Jairo,br BRA
f7815d38,Antonio Jakoliš,hr CRO
46d50339,Christophe Jallet,fr FRA
9a6cfc02,Tomáš Janíček,cz CZE
9866afec,Marko Janković,me MNE
4737cebe,Adnan Januzaj,be BEL
27d2618c,Rune Jarstein,no NOR
810486a5,Bajram Jashanica,xk KVX
21519148,Mike Jensen,dk DEN
b12c68bf,Marko Jevtović,rs SRB
34bf7740,Milan Jevtović,rs SRB
28aeafaa,Jaba Jighauri,ge GEO
90624e56,Lee Jin-hyun,kr KOR
81b013ec,Petr Jiráček,cz CZE
e4a26a91,Jakob Johansson,se SWE
fb59286d,Miloš Jojić,rs SRB
45db685d,Jorginho,it ITA
d87e2cae,Willian José,br BRA
9b6df52f,Sven Joss,ch SUI
8e19242c,Đorđe Jovanović,rs SRB
2319ebe3,Branko Jovičić,rs SRB
cfd8d664,Juanfran,es ESP
84399660,Juanmi,es ESP
