id,Player,Nation
ee4f2f3b,Fabio Quagliarella,it ITA
023937a9,Ivan Radovanović,rs SRB
67f649be,Ionuț Radu,ro ROU
53de807a,Ștefan Radu,ro ROU
2c851997,Gastón Ramírez,uy URU
539230cf,Andrea Ranocchia,it ITA
283699b4,Jacob Rasmussen,dk DEN
6e058f06,Giacomo Raspadori,it ITA
6213fd82,Arkadiusz Reca,pl POL
339c6ed4,Vasco Regini,it ITA
e358587b,Pepe Reina,es ESP
a1216563,Emiliano Rigoni,ar ARG
4dba2a97,Luca Rigoni,it ITA
e327bd76,Nicola Rigoni,it ITA
f1cfc209,Tomás Rincón,ve VEN
7602ddf6,Alejandro Rodríguez,es ESP
7f78ad23,Ricardo Rodríguez,ch SUI
b6b2b820,Marko Rog,hr CRO
10e7f486,Rogério,br BRA
10e25802,Esteban Rolón,ar ARG
84594618,Filippo Romagna,it ITA
3ead85f9,Alessio Romagnoli,it ITA
a3d94a58,Cristian Romero,ar ARG
07abb358,Rômulo,it ITA
dea698d9,Cristiano Ronaldo,pt POR
2a1beb34,Marten de Roon,nl NED
47a500ae,Luca Rossettini,it ITA
7b5f516f,Francesco Rossi,it ITA
14b8fcdf,Daniele Rugani,it ITA
0b5a292a,Mário Rui,pt POR
c0c7ff58,Fabián Ruiz Peña,es ESP
da5a981b,Jacopo Sala,it ITA
9b30df1e,Bartosz Salamon,pl POL
3c1e4e84,Paolo Sammarco,it ITA
0a447501,Antonio Sanabria,py PAR
c1c2c925,Sandro,br BRA
0d82903c,Alex Sandro,br BRA
7eb97a8e,Nicola Sansone,it ITA
df85d472,Federico Santander,py PAR
88c89891,Davide Santon,it ITA
92b4758e,Samir Santos,br BRA
3bb7af3b,Riccardo Saponara,it ITA
1ad1f50d,Marco Sau,it ITA
a6e316c1,Ezequiel Schelotto,it ITA
afe31d55,Nicolás Schiappacasse,uy URU
bd84fc61,Pasquale Schiattarella,it ITA
5d4f7d61,Patrik Schick,cz CZE
ea164f99,Matteo Scozzarella,it ITA
41bd99ea,Simone Scuffet,it ITA
c4f573f4,Andrea Seculin,it ITA
f02dde20,Adrian Šemper,hr CRO
b70bde8f,Stefano Sensi,it ITA
343f753a,Luigi Sepe,it ITA
dd7febd8,Leonardo Sernicola,it ITA
d3aaad90,Stephan El Shaarawy,it ITA
0f933743,Francisco Sierralta,cl CHI
1cac99dc,Luca Siligardi,it ITA
bef22bc4,Matheus Pereira da Silva,br BRA
b6ca47a2,Matías Silvestre,ar ARG
343c0d52,Giovanni Simeone,ar ARG
65e4dede,Lorenco Šimić,hr CRO
10dc46f0,Salvatore Sirigu,it ITA
ab4449d6,Łukasz Skorupski,pl POL
30f5ffa9,Milan Škriniar,sk SVK
839c14e1,Cédric Soares,pt POR
098139eb,Danilo Soddimo,it ITA
