id,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
7d937aa1,288,263,24,6,0,2,23,2,16,8,8,0,224,1,6
f3642ba8,94,91,3,2,0,1,1,0,0,0,0,0,77,0,0
6c8ddd52,82,70,12,0,1,1,3,12,0,0,0,0,66,0,1
f6496133,497,456,40,8,1,1,24,11,14,12,0,0,391,1,11
e90af77c,76,69,7,1,0,0,3,3,3,1,2,0,60,0,2
0b0cbe5b,606,531,72,6,1,9,59,49,7,5,0,0,410,3,24
f9d5908e,196,193,2,0,1,0,17,2,0,0,0,0,150,1,7
1001ae82,965,836,125,53,6,16,106,2,52,36,13,1,693,4,12
a0791826,418,381,34,5,6,2,51,1,26,8,14,0,279,3,16
20e73fac,1211,1066,140,66,2,37,123,17,57,23,28,1,902,5,24
e8a65bc8,5,5,0,0,1,0,3,0,0,0,0,0,2,0,1
861227d2,918,898,19,17,0,7,0,2,0,0,0,0,783,1,2
8bbe2df5,841,665,174,26,0,2,93,141,7,1,5,1,625,2,14
16324e1d,881,807,73,69,0,23,4,3,0,0,0,0,720,1,8
f83c8d6c,332,292,38,2,1,0,3,2,0,0,0,0,258,2,3
edd81e2a,315,303,12,10,0,10,0,2,0,0,0,0,248,0,2
f9921b7f,16,16,0,0,0,0,0,0,0,0,0,0,10,0,1
8746d5d0,1099,935,160,27,0,1,24,133,0,0,0,0,941,4,18
26975a92,698,413,284,81,0,1,0,0,0,0,0,0,451,1,0
db87a2c4,18,11,7,1,0,0,0,0,0,0,0,0,18,0,0
ad7b19ef,521,492,28,11,2,4,24,2,15,11,2,0,410,1,8
38568467,148,102,46,4,0,1,8,42,0,0,0,0,99,0,5
0118c54c,522,433,86,6,2,13,21,80,0,0,0,0,414,3,10
e8edfdc9,191,170,19,0,3,1,7,2,0,0,0,0,112,2,6
2a657da0,359,300,58,15,2,7,93,6,37,9,23,2,200,1,11
8d043f1d,90,82,8,0,1,0,3,8,0,0,0,0,74,0,2
34bb6fbd,1012,766,245,19,0,4,34,226,0,0,0,0,723,1,27
94f8d10c,1081,1041,40,34,0,20,1,4,0,0,0,0,937,0,1
8577e60a,456,451,4,2,0,3,7,1,0,0,0,0,383,1,6
c58270f8,49,48,1,0,0,0,1,0,0,0,0,0,33,0,1
7b9c2d84,980,949,28,27,0,10,1,1,0,0,0,0,856,3,7
79b2399c,796,750,44,7,1,4,32,33,4,3,0,0,635,2,10
f81ef10d,383,379,4,4,2,4,2,0,0,0,0,0,330,0,4
5e080f73,443,430,12,1,1,6,29,3,1,0,0,0,274,1,12
5b5724d2,808,684,121,12,1,11,50,109,0,0,0,0,625,3,21
8608f269,27,15,12,3,0,0,0,0,0,0,0,0,14,0,0
f54d2149,502,469,28,16,0,9,17,0,12,1,10,1,444,5,3
e0f3a1f6,1013,990,23,21,1,10,4,1,1,1,0,0,856,0,2
527f063d,136,125,11,0,1,1,2,1,0,0,0,0,114,0,0
31a62dc7,1375,1094,274,15,1,10,53,258,1,0,0,0,1074,7,42
3c6bbbab,1326,1062,263,20,0,5,68,243,0,0,0,0,972,1,31
5d9577aa,16,15,1,1,0,0,1,0,0,0,0,0,13,0,2
edd1466a,941,758,181,22,1,3,50,159,0,0,0,0,712,2,20
18ebca4b,838,762,75,10,4,17,31,9,7,0,0,0,637,1,19
16aa7d4c,553,542,11,11,0,9,2,0,0,0,0,0,483,0,4
279ddf6a,1108,977,125,59,2,18,107,6,60,14,41,0,841,6,15
80e4c841,1051,1005,43,40,1,16,0,3,0,0,0,0,826,3,8
b34c63a5,65,60,5,1,1,0,5,3,1,1,0,0,42,0,4
7909ffa4,545,524,18,17,1,15,10,1,0,0,0,0,417,3,5
45c1c326,635,517,115,36,4,4,91,19,57,24,24,2,448,3,14
9cebd6ce,45,43,2,0,0,2,0,2,0,0,0,0,36,0,0
0f87f8c2,64,49,15,0,0,0,1,15,0,0,0,0,57,0,1
741418c3,595,569,26,6,1,4,28,5,13,4,8,0,501,0,8
7800bdb8,61,39,22,8,0,0,0,0,0,0,0,0,42,0,0
3010aefb,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0
4e7d66f8,585,540,44,15,1,2,22,4,16,7,5,0,477,1,10
166a981d,534,443,90,14,0,3,9,76,0,0,0,0,450,1,8
3f5b4635,911,874,33,30,0,7,7,3,0,0,0,0,747,4,10
cfd8dde3,78,70,7,0,0,0,9,1,2,2,0,0,43,1,1
beb391dd,710,618,91,13,1,3,79,51,26,17,5,0,500,1,27
5d42d487,140,121,18,1,1,0,47,5,12,7,3,0,75,1,11
bc50c437,12,12,0,0,0,0,0,0,0,0,0,0,10,0,1
909222de,144,141,3,0,1,0,6,1,0,0,0,0,89,0,7
2434f24a,883,567,316,69,0,4,0,1,0,0,0,0,622,0,0
9980269a,337,331,6,0,1,0,9,2,0,0,0,0,185,0,9
67b7357e,401,390,10,8,0,4,1,2,0,0,0,0,326,1,3
26e4447b,554,502,48,15,1,8,70,5,28,18,6,0,371,4,20
8f325097,248,240,7,7,0,1,0,0,0,0,0,0,202,1,3
3e092724,1351,1201,148,67,1,11,97,1,80,35,30,3,1126,2,13
007faf7a,25,24,1,0,0,0,1,0,1,1,0,0,22,0,0
1ec7e1c5,1264,1217,45,45,0,11,4,0,0,0,0,0,1071,2,8
29c02c9f,408,352,56,3,0,0,25,53,0,0,0,0,362,0,6
fd2bc67d,1639,1589,48,42,5,20,1,6,0,0,0,0,1492,2,9
44f8c299,702,681,21,15,1,15,15,4,1,0,1,0,531,0,8
92232aad,1100,866,231,23,0,11,63,208,0,0,0,0,791,3,25
0be95d34,485,466,15,1,5,4,24,14,0,0,0,0,372,4,10
8332db56,687,531,152,14,0,3,67,138,0,0,0,0,473,4,26
2ee1b96b,44,30,14,3,0,0,0,0,0,0,0,0,27,0,0
d33c706e,789,717,70,5,5,12,93,7,8,4,3,1,451,2,21
e7986081,438,417,20,1,4,1,5,1,0,0,0,0,304,1,15
47af88b8,1605,1560,45,43,1,8,1,2,0,0,0,0,1509,0,1
0d3585b5,143,133,9,0,0,2,7,0,0,0,0,0,92,1,7
19cda00b,1292,1133,142,27,30,14,175,26,89,53,22,1,908,17,29
244bc2c8,325,290,32,2,1,0,4,1,0,0,0,0,236,3,7
d07e3b41,469,460,8,3,2,1,32,5,0,0,0,0,350,1,17
1bfb6fef,663,621,42,22,0,3,6,20,0,0,0,0,568,0,1
fc62f087,1067,1013,53,24,1,6,4,29,0,0,0,0,985,1,6
6605d143,452,423,27,0,0,2,4,1,0,0,0,0,299,2,12
11ff3d56,858,837,20,20,4,9,6,0,0,0,0,0,732,1,16
698f11e3,55,50,4,4,0,0,0,0,0,0,0,0,41,1,0
d83f8f69,99,46,52,14,0,0,0,0,0,0,0,0,50,1,0
247accfd,906,852,53,10,0,0,10,43,0,0,0,0,715,1,12
92b56413,374,355,16,3,5,2,17,5,8,1,3,0,267,3,12
4be0b467,107,98,8,0,0,0,7,2,0,0,0,0,65,1,3
7f622eef,50,49,1,1,0,0,0,0,0,0,0,0,38,0,1
ad82197c,1507,1468,36,29,2,17,4,7,0,0,0,0,1270,3,8
b2336681,452,431,19,12,0,3,3,7,0,0,0,0,385,2,8
43e7a164,1233,1199,31,27,1,18,6,4,0,0,0,0,1056,3,6
cc83b74d,290,242,47,1,0,1,3,1,0,0,0,0,221,1,11
ccb1c3af,75,69,6,2,1,0,4,1,3,3,0,0,60,0,3
0f26fd24,122,113,9,0,0,0,23,3,1,0,1,0,66,0,8
67ac5bb8,1510,1441,63,44,2,13,2,19,0,0,0,0,1236,6,6
6421dd73,737,627,106,17,0,4,199,11,75,18,55,0,460,4,41
6481421d,689,646,41,14,6,6,46,8,18,4,7,1,532,2,16
9daeac61,298,233,64,2,0,2,16,62,0,0,0,0,226,1,5
9daeac61,47,37,10,0,0,0,3,10,0,0,0,0,38,0,1
1a992676,485,466,17,4,3,0,11,4,9,6,1,1,429,2,3
ff0ab48c,964,794,167,11,0,4,59,155,1,0,0,0,758,3,15
9b6556d2,157,144,13,1,2,2,11,2,1,0,1,0,108,0,4
e5cd9da6,99,80,19,2,0,1,9,12,5,2,3,0,80,0,2
