id,MP,Min,90s,Starts,Compl,Subs,unSub,PPM,onG,onGA,+/-,onxG,onxGA,xG+/-,MinGK,MPGK,StartsGK,90sGK
9ec32624,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0
9ef04882,0,0,0,0,0,0,2,0,0,0,0,0.0,0.0,0.0,0,0,0,0
9efa1d25,23,1601,17,19,9,4,3,1,35,26,9,35.7,23.9,11.8,0,0,0,0
9f381d8b,18,957,10,9,5,9,1,0,8,26,-18,14.4,21.7,-7.3,0,0,0,0
9f979eb2,22,1890,21,21,20,1,3,0,25,45,-20,24.4,40.3,-15.9,0,0,0,0
9fb640a8,11,802,8,10,5,1,6,1,7,15,-8,8.1,13.5,-5.3,0,0,0,0
9fec8860,29,2532,28,29,26,0,0,1,33,34,-1,33.1,37.2,-4.1,0,0,0,0
a0606ae8,34,3060,34,34,34,0,0,1,36,36,0,40.3,43.5,-3.1,3060,34,34,34
a0e209bc,11,737,8,10,3,1,6,1,10,17,-7,7.5,12.3,-4.8,0,0,0,0
a165a577,1,90,1,1,1,0,30,0,0,4,-4,0.5,3.5,-3.0,90,1,1,1
a167537f,34,2326,25,26,12,8,0,1,51,34,17,41.9,29.6,12.3,0,0,0,0
a27c5ac4,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0
a2a85828,9,314,3,2,0,7,8,1,3,3,0,2.3,3.9,-1.5,0,0,0,0
a2e7de6f,30,2570,28,29,26,1,0,0,19,46,-27,30.2,47.9,-17.7,0,0,0,0
a3ddb1b9,31,2177,24,24,17,7,0,1,52,33,19,37.6,35.8,1.8,0,0,0,0
a4e14205,10,370,4,4,0,6,12,0,3,9,-6,3.9,10.2,-6.2,0,0,0,0
a4effc55,11,657,7,6,3,5,11,1,18,10,8,14.4,8.4,6.0,0,0,0,0
a4f94a0d,27,2412,26,27,25,0,0,1,29,26,3,31.9,34.2,-2.4,0,0,0,0
a53b661f,30,2140,23,20,12,10,0,1,38,37,1,37.0,34.4,2.5,0,0,0,0
a572e291,20,779,8,7,5,13,10,1,9,13,-4,10.0,13.0,-2.9,0,0,0,0
a5ae8f8e,30,2655,29,30,29,0,2,1,32,35,-3,33.1,38.4,-5.2,0,0,0,0
a5d77c4e,1,10,0,0,0,1,11,0,0,1,-1,0.0,0.3,-0.3,0,0,0,0
a5ec3ede,15,1287,14,14,13,1,8,1,18,21,-3,16.1,20.1,-4.0,0,0,0,0
a63a995f,23,1583,17,18,15,5,8,1,17,24,-7,19.8,21.9,-2.1,0,0,0,0
a7813ac4,29,2500,27,28,25,1,3,1,34,42,-8,29.6,37.5,-7.9,0,0,0,0
a93b6f4e,3,270,3,3,3,0,3,1,2,3,-1,1.8,3.8,-2.0,0,0,0,0
a96e5dc0,18,1391,15,15,14,3,4,3,29,17,12,30.4,21.3,9.1,0,0,0,0
aad48be9,26,2210,24,25,24,1,3,1,27,26,1,26.7,34.1,-7.3,0,0,0,0
ab700320,17,1223,13,14,7,3,4,1,19,17,2,21.0,18.4,2.6,0,0,0,0
abb42ce6,20,1515,16,17,10,3,8,0,11,35,-24,20.2,36.3,-16.2,0,0,0,0
acc7b7ec,14,1121,12,14,6,0,1,1,10,12,-2,13.5,13.6,-0.1,0,0,0,0
ad00b1a8,2,82,0,1,0,1,10,1,0,1,-1,1.2,0.9,0.3,0,0,0,0
ad3389d5,34,3060,34,34,34,0,0,1,45,45,0,42.2,41.7,0.5,3060,34,34,34
aeda1f69,28,1981,22,25,12,3,1,1,28,33,-5,26.8,35.2,-8.4,0,0,0,0
afb0c500,1,45,0,0,0,1,33,3,0,0,0,0.6,0.4,0.2,45,1,0,0
b1823b08,7,75,0,0,0,7,5,2,1,1,0,1.2,1.0,0.2,0,0,0,0
b1cd37e6,30,2438,27,27,21,3,0,1,26,38,-12,31.6,42.8,-11.2,0,0,0,0
b3325a30,25,1703,18,16,11,9,4,1,20,30,-10,20.3,29.4,-9.1,0,0,0,0
b3b7f5a6,24,1892,21,22,18,2,2,1,27,30,-3,25.5,27.1,-1.6,0,0,0,0
