id,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
620922ed,5.0,4,2.0,3.0,0.0,4.0,10.0,6.0,7.0,3.0,4.0,13,18.0,17.0,0.0
481c9ece,32.0,12,9.0,14.0,9.0,16.0,32.0,16.0,15.0,6.0,9.0,9,41.0,26.0,0.0
528492ea,34.0,19,13.0,16.0,5.0,11.0,32.0,21.0,32.0,3.0,29.0,10,44.0,7.0,0.0
e0921a4f,30.0,13,7.0,14.0,9.0,8.0,35.0,27.0,19.0,0.0,19.0,9,39.0,4.0,3.0
3bb7f478,14.0,8,7.0,4.0,3.0,8.0,25.0,17.0,22.0,5.0,17.0,4,18.0,35.0,0.0
6af30900,28.0,12,16.0,8.0,4.0,10.0,18.0,8.0,13.0,3.0,10.0,16,44.0,38.0,1.0
a9202def,29.0,18,11.0,14.0,4.0,14.0,26.0,12.0,11.0,2.0,9.0,19,48.0,8.0,0.0
f503ea63,43.0,28,17.0,21.0,5.0,26.0,56.0,30.0,27.0,7.0,20.0,29,72.0,25.0,0.0
7afbd2c3,19.0,12,2.0,12.0,5.0,7.0,23.0,16.0,19.0,5.0,14.0,9,28.0,6.0,0.0
cf007308,25.0,15,10.0,10.0,5.0,12.0,28.0,16.0,13.0,2.0,11.0,8,33.0,17.0,0.0
0fee6bda,28.0,16,18.0,10.0,0.0,10.0,18.0,8.0,54.0,39.0,15.0,28,56.0,122.0,1.0
3f79a1c8,1.0,0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,1,2.0,0.0,0.0
a39b9ef6,2.0,2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3.0,1.0,0.0
9f5a610b,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,5.0,0.0
9085dd7c,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0,1.0,0.0,0.0
aae9d04a,62.0,40,38.0,21.0,3.0,29.0,62.0,33.0,38.0,5.0,33.0,23,85.0,62.0,1.0
b7a5bc86,4.0,2,1.0,3.0,0.0,0.0,4.0,4.0,8.0,3.0,5.0,8,12.0,11.0,0.0
157d29b6,1.0,1,0.0,1.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,0,1.0,0.0,0.0
44510fde,1.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,2.0,0.0
4e358a2d,17.0,11,10.0,6.0,1.0,9.0,12.0,3.0,21.0,16.0,5.0,27,44.0,67.0,1.0
