id,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,recov
7aa84ac5,4,4,3,1,0,1,11,10,3,1,2,1,5,0,0,16
7b075c75,3,2,3,0,0,1,3,2,12,12,0,11,14,32,0,35
7b4b9221,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,2
7b4de647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7b536033,5,3,2,1,2,1,2,1,3,1,2,1,6,7,0,25
7b5f516f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7ba1f1ef,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0
7d3cbc67,13,11,4,2,7,7,19,12,12,4,8,6,19,6,0,24
7d50454d,22,15,16,6,0,6,11,5,23,17,6,23,45,66,2,46
7e81a17d,7,5,1,5,1,3,7,4,2,0,2,0,7,1,0,13
7eb97a8e,34,20,12,18,4,15,59,44,21,0,21,11,45,9,0,140
7ec7738e,2,2,2,0,0,1,4,3,1,0,1,0,2,1,1,8
7ed4921e,37,19,25,12,0,10,18,8,41,29,12,31,68,135,2,123
7f24b3eb,3,1,1,2,0,1,1,0,0,0,0,0,3,0,0,4
7f267d66,16,9,9,7,0,9,24,15,12,4,8,9,25,14,1,47
7f66ea09,3,1,3,0,0,3,3,0,0,0,0,6,9,22,0,18
7f78ad23,6,1,2,2,2,2,6,4,3,2,1,5,11,17,0,19
7fd58fe3,21,13,10,7,4,11,41,30,20,4,16,21,42,28,1,125
7fe90ccd,7,3,2,3,2,4,8,4,3,1,2,6,13,8,1,24
7ff93107,3,2,0,2,1,0,5,5,3,0,3,3,6,1,0,5
801831fe,0,0,0,0,0,0,2,2,1,0,1,1,1,0,0,2
80c718dd,4,1,2,1,1,3,7,4,1,0,1,1,5,4,0,10
81255c03,17,11,5,7,5,4,24,20,35,8,27,9,26,39,0,102
817c6964,16,8,8,5,3,9,16,7,5,0,5,9,25,5,0,30
822a7761,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4
82328faf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
825b8997,16,8,11,4,1,6,10,4,19,12,7,22,38,36,0,44
82b1198a,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,28
82dbf623,0,0,0,0,0,0,1,1,4,0,4,1,1,3,0,11
82efe6fa,11,8,6,3,2,5,7,2,9,6,3,18,29,21,1,43
84594618,7,6,2,5,0,5,6,1,24,17,7,10,17,69,0,75
84b6acaa,30,14,22,8,0,11,22,11,34,29,5,34,64,145,3,103
852351df,14,10,10,3,1,8,21,13,12,3,9,15,29,19,2,76
854ee61a,12,8,4,6,2,4,15,11,9,0,9,3,15,5,0,27
85613cf0,12,5,4,1,7,3,11,8,11,1,10,2,14,12,0,27
85e51909,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,6
8650af85,9,5,6,3,0,4,8,4,25,22,3,26,35,41,1,98
8697c095,13,5,3,7,3,2,12,10,1,0,1,1,14,3,0,10
8794e251,47,31,16,19,12,15,41,26,36,6,30,32,79,19,0,115
881ef58c,14,10,3,5,6,5,12,7,4,0,4,5,19,5,0,40
88c89891,11,6,6,5,0,6,17,11,2,1,1,11,22,13,0,37
8913a9f9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
89976232,42,24,24,14,4,17,35,18,44,29,15,71,113,121,1,178
89b2c8a9,13,9,1,8,4,2,27,25,10,1,9,7,20,4,0,52
8a08491a,13,7,2,6,5,4,31,27,12,0,12,6,19,14,0,48
8abd0c03,15,9,8,4,3,6,11,5,9,2,7,5,20,10,0,28
8b303bcb,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,13
8b609c34,1,0,0,1,0,0,0,0,0,0,0,1,2,2,0,10
8b66d9cc,10,7,5,4,1,3,9,6,5,0,5,2,12,3,0,25
8b8a56ce,31,19,18,13,0,13,22,9,25,20,5,22,53,62,1,70
8b95acda,42,26,27,14,1,12,24,12,33,22,11,59,101,155,1,192
8bc8829a,3,2,0,2,1,0,0,0,3,1,2,0,3,0,0,6
8c63fae5,2,2,2,0,0,2,3,1,1,0,1,2,4,7,0,14
8c65eb5f,44,19,19,22,3,14,38,24,20,7,13,19,63,19,2,132
8c725b43,36,18,26,9,1,14,32,18,31,20,11,55,91,134,1,154
8cabdc1e,0,0,0,0,0,0,1,1,0,0,0,4,4,19,2,40
8cb494c9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8cc29864,13,9,13,0,0,4,10,6,10,7,3,4,17,23,0,36
8cea6319,13,6,9,4,0,9,15,6,14,12,2,9,22,30,0,46
8d8178ac,19,11,0,9,10,4,27,23,17,3,14,5,24,38,2,76
8da74c05,4,3,1,1,2,1,2,1,3,1,2,3,7,4,1,19
8efa621b,29,13,20,9,0,14,32,18,48,38,10,36,65,169,5,184
8f866fe8,9,7,2,3,4,1,7,6,12,0,12,10,19,11,0,51
8fef5412,41,25,23,15,3,21,49,28,21,8,13,43,84,42,1,90
8ff07990,2,2,0,2,0,0,2,2,1,1,0,8,10,22,0,40
9085dd7c,41,28,21,15,5,23,46,23,18,9,9,10,51,58,0,88
909bce7f,38,20,29,9,0,15,57,42,20,7,13,28,66,25,2,122
91899ca8,15,8,11,4,0,7,20,13,10,7,3,22,37,50,0,67
91976866,4,3,1,0,3,3,3,0,2,0,2,2,6,1,0,5
919dd4b1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91c9de34,1,0,1,0,0,0,0,0,0,0,0,1,2,0,0,3
921f6058,81,44,46,33,2,28,54,26,39,14,25,61,142,74,2,199
92b4758e,35,27,24,8,3,12,23,11,16,6,10,33,68,64,1,85
92d83c27,13,8,9,4,0,6,31,25,15,4,11,13,26,10,0,45
933d3b51,27,12,19,8,0,8,18,10,28,23,5,15,42,53,1,56
934e264d,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0
93b891d1,17,10,4,7,6,2,11,9,9,1,8,4,21,2,0,37
93cf32a8,34,24,21,11,2,16,22,6,40,18,22,70,104,138,2,214
9413b19f,0,0,0,0,0,0,2,2,1,0,1,1,1,7,2,34
94816803,6,4,4,2,0,3,10,7,4,0,4,0,6,0,0,19
94b2001f,30,20,16,12,2,18,30,12,12,3,9,26,56,44,0,78
952a03fe,18,11,11,7,0,7,11,4,28,20,8,32,50,86,2,88
9591723b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9592289a,15,10,6,4,5,3,10,7,11,0,11,9,24,13,1,47
95adf1e1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
95facda1,58,38,37,17,4,25,69,44,30,1,29,25,83,26,0,171
96640846,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
96960855,20,10,12,5,3,9,30,21,12,2,10,11,31,11,0,95
96e0490d,81,42,48,30,3,40,83,43,38,16,22,25,106,78,1,148
970b8574,12,5,4,5,3,6,10,4,3,2,1,5,17,12,0,47
980522ec,11,6,2,8,1,5,20,15,3,0,3,0,11,0,0,47
983ff2c7,20,10,12,6,2,13,19,6,5,1,4,11,31,15,0,49
9866afec,2,1,0,0,2,1,2,1,2,1,1,0,2,0,0,6
98d2c2c4,51,30,18,25,8,22,63,41,41,6,35,28,79,26,0,161
9907b1c8,15,11,4,7,4,3,24,21,14,0,14,5,20,5,0,65
997fff07,12,9,7,3,2,6,9,3,5,3,2,6,18,16,0,33
9b30df1e,2,1,2,0,0,1,2,1,4,4,0,6,8,14,0,14
9b6f7fd5,33,19,12,17,4,14,37,23,17,2,15,8,41,9,0,98
9d4c45d6,43,25,15,21,7,10,46,36,19,0,19,17,60,23,1,110
9dc96f10,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
9e1577aa,22,6,10,8,4,10,24,14,21,7,14,13,35,41,0,66
9e90fb5d,24,10,6,11,7,7,31,24,15,1,14,6,30,10,0,85
9f5a610b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
a111cf41,0,0,0,0,0,0,1,1,0,0,0,1,1,18,2,66
a1216563,5,4,2,1,2,3,10,7,5,1,4,3,8,1,0,17
a36084cd,1,1,0,1,0,0,0,0,0,0,0,1,2,0,0,3
a3d94a58,52,35,36,12,4,12,41,29,59,33,26,75,127,116,2,162
a40819d9,40,24,21,17,2,19,36,17,33,24,9,50,90,86,3,104
a40d5a0c,16,13,5,8,3,5,20,15,14,0,14,3,19,6,0,45
a4e85758,36,26,21,12,3,20,27,7,27,13,14,31,67,53,1,121
a4fe8cda,4,2,2,1,1,1,15,14,6,1,5,2,6,6,0,25
a5296e55,26,16,10,11,5,12,30,18,28,5,23,21,47,15,0,155
a64cbd35,43,31,22,19,2,16,45,29,26,8,18,17,60,32,0,80
a65ce836,10,7,5,3,2,3,10,7,4,0,4,2,12,3,0,21
a69cc629,1,1,1,0,0,0,0,0,1,0,1,1,2,0,0,3
a69e4806,6,4,1,5,0,2,15,13,13,0,13,5,11,5,0,34
a8a874f1,76,50,35,37,4,33,69,36,42,14,28,33,109,36,0,191
a8f21b9f,12,8,4,6,2,3,10,7,6,1,5,3,15,1,0,19
a96e5dc0,37,21,24,10,3,18,35,17,23,12,11,18,55,58,1,119
aae9d04a,67,37,43,19,5,30,67,37,50,15,35,36,103,115,0,242
ab1ca213,52,29,20,28,4,18,60,42,36,12,24,32,84,46,1,241
ab4449d6,1,0,1,0,0,0,1,1,0,0,0,2,3,15,5,38
ac1f056e,0,0,0,0,0,0,4,4,0,0,0,0,0,1,0,2
ac4003af,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,12
ac7e640b,21,11,12,8,1,5,11,6,9,5,4,30,51,22,1,80
ad6df2d5,46,21,16,23,7,21,63,42,29,12,17,32,78,30,0,168
aded8e6f,0,0,0,0,0,0,1,1,0,0,0,2,2,0,0,1
ae4e2852,10,8,6,4,0,6,14,8,5,2,3,8,18,18,1,28
ae64d449,37,20,23,13,1,16,40,24,28,10,18,20,57,29,0,137
ae7058f9,11,7,6,5,0,6,11,5,3,2,1,15,26,26,0,32
ae82fa48,4,4,1,2,1,0,4,4,4,0,4,1,5,2,0,19
b0243215,22,12,14,7,1,8,14,6,11,7,4,16,38,33,0,54
b0f7e36c,38,22,13,15,10,10,52,42,19,0,19,6,44,6,0,107
b1236c63,10,7,5,5,0,6,21,15,13,2,11,4,14,12,0,31
b1deecf8,23,17,16,7,0,8,16,8,29,17,12,24,47,75,0,83
b233e8e4,18,6,14,4,0,10,19,9,8,4,4,10,28,28,0,27
b3af9be1,42,24,25,13,4,22,41,19,34,9,25,49,91,78,1,142
b3fd7075,44,24,19,21,4,16,52,36,19,3,16,40,84,11,0,137
b59e02da,22,13,10,9,3,8,28,20,13,2,11,11,33,19,0,51
b5bf1770,23,13,9,12,2,7,13,6,29,19,10,23,46,54,2,92
b5cae4e6,3,0,3,0,0,2,9,7,4,0,4,1,4,5,0,28
b6964eb6,25,16,15,9,1,10,13,3,44,35,9,56,81,126,2,144
b6b2b820,69,47,31,29,9,22,84,62,40,12,28,22,91,23,0,162
b70bde8f,18,10,10,7,1,6,22,16,15,1,14,9,27,4,0,48
b7a5bc86,6,4,3,2,1,2,10,8,5,3,2,5,11,8,0,15
b86fe156,2,0,2,0,0,0,1,1,4,1,3,2,4,0,0,8
b871bf55,13,8,8,3,2,6,11,5,6,4,2,4,17,19,0,28
b96b595c,59,29,42,12,5,14,20,6,40,27,13,42,101,109,1,179
ba1e04b3,46,31,21,19,6,19,40,21,24,10,14,21,67,31,1,94
ba3d3bea,17,11,10,5,2,10,20,10,7,1,6,13,30,10,0,60
bbafc0c4,37,25,24,7,6,19,34,15,23,3,20,14,51,20,4,109
bdc74a8f,5,3,4,0,1,2,4,2,2,0,2,2,7,3,0,16
bdd0692f,4,2,3,1,0,0,1,1,5,1,4,2,6,2,0,35
be927d03,11,5,3,5,3,6,19,13,11,3,8,14,25,24,0,54
