id,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
15d0c248,Luiz Felipe,it ITA,DF,Lazio,23,1997,10.1,32,20,19,11,2,16,24,66.7,8,20,9,11,21,53,29,1,Matches
d0dbca9f,Alex Ferrari,it ITA,DF,Sampdoria,26,1994,9.8,27,15,16,9,2,15,24,62.5,9,18,6,12,23,50,26,0,Matches
eb76987d,Salvador Ferrer,es ESP,DF,Spezia,22,1998,13.2,20,10,10,8,2,8,22,36.4,14,13,4,9,24,44,37,1,Matches
c195ae4a,Marco Festa,it ITA,GK,Crotone,28,1992,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
d60c26fc,Fernando Forestieri,it ITA,"FW,MF",Udinese,30,1990,6.1,9,7,4,4,1,3,7,42.9,4,7,0,7,2,11,0,0,Matches
658d44be,Daam Foulon,be BEL,DF,Benevento,21,1999,11.3,26,15,21,5,0,16,28,57.1,12,12,3,9,14,40,34,0,Matches
d80b1835,Gianluca Frabotta,it ITA,"DF,MF",Juventus,21,1999,7.7,7,4,5,0,2,5,12,41.7,7,9,1,8,14,21,15,0,Matches
98d2c2c4,Remo Freuler,ch SUI,MF,Atalanta,28,1992,30.1,63,39,17,38,8,32,76,42.1,44,52,4,48,39,102,27,2,Matches
82328faf,Daniel Fuzato,br BRA,GK,Roma,23,1997,5.0,0,0,0,0,0,0,0,,0,1,0,1,0,0,1,1,Matches
c235e803,Matteo Gabbia,it ITA,DF,Milan,20,1999,6.2,9,5,3,6,0,2,2,100.0,0,8,6,2,3,12,21,0,Matches
8f866fe8,Manolo Gabbiadini,it ITA,FW,Sampdoria,28,1991,9.7,2,2,0,2,0,0,1,0.0,1,3,1,2,3,5,5,0,Matches
ce30bfc8,Roberto Gagliardini,it ITA,MF,Inter,26,1994,13.7,30,17,17,8,5,5,28,17.9,23,15,3,12,19,49,16,0,Matches
173061c0,Riccardo Gagliolo,se SWE,DF,Parma,30,1990,21.7,45,18,35,8,2,28,45,62.2,17,34,7,27,36,81,64,1,Matches
8dfed6e9,Adolfo Gaich,ar ARG,FW,Benevento,21,1999,8.5,9,4,1,7,1,1,13,7.7,12,4,0,4,2,11,4,0,Matches
0a1efd3c,Andrey Galabinov,bg BUL,FW,Spezia,31,1988,4.8,2,1,1,1,0,1,3,33.3,2,2,0,2,0,2,5,0,Matches
7033ca08,Manuel Gasparini,it ITA,GK,Udinese,18,2002,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
e468c053,Gervinho,ci CIV,FW,Parma,33,1987,22.5,5,1,2,2,1,1,14,7.1,13,11,1,10,10,15,3,0,Matches
71dc23da,Paolo Ghiglione,it ITA,"DF,MF",Genoa,23,1997,15.1,27,15,17,8,2,13,28,46.4,15,14,2,12,13,40,25,0,Matches
c5adc293,Faouzi Ghoulam,dz ALG,"DF,FW",Napoli,29,1991,3.2,6,5,3,2,1,0,1,0.0,1,4,2,2,3,9,1,0,Matches
c6056d58,Kamil Glik,pl POL,DF,Benevento,32,1988,35.6,44,24,33,10,1,25,53,47.2,28,37,31,6,62,106,153,0,Matches
fc4f85b1,Diego Godín,uy URU,DF,Cagliari,34,1986,27.9,60,32,51,9,0,24,39,61.5,15,41,24,17,56,116,117,0,Matches
51ffa295,Amer Gojak,ba BIH,"MF,FW",Torino,23,1997,5.3,1,0,1,0,0,1,7,14.3,6,5,0,5,3,4,1,0,Matches
4b029b31,Edoardo Goldaniga,it ITA,DF,Genoa,26,1993,20.6,28,18,21,7,0,14,23,60.9,9,17,7,10,38,66,62,1,Matches
1db295e5,Vladimir Golemić,si SVN,DF,Crotone,29,1991,26.0,33,16,17,13,3,14,19,73.7,5,38,26,12,40,73,97,2,Matches
f0f7f62f,Pierluigi Gollini,it ITA,GK,Atalanta,25,1995,24.0,1,0,1,0,0,1,2,50.0,1,1,0,1,1,2,11,0,Matches
a5055b1b,Tomislav Gomelt,hr CRO,MF,Crotone,25,1995,0.2,1,1,0,1,0,0,0,,0,0,0,0,1,2,0,0,Matches
6e4df551,Papu Gómez,ar ARG,"MF,FW",Atalanta,32,1988,7.4,3,2,2,1,0,2,8,25.0,6,8,1,7,1,4,1,0,Matches
2d970560,Robin Gosens,de GER,DF,Atalanta,26,1994,28.0,46,35,20,15,11,17,41,41.5,24,50,7,43,41,87,34,0,Matches
6cc97b6a,Alberto Grassi,it ITA,"MF,DF",Parma,25,1995,13.1,30,11,14,13,3,8,29,27.6,21,22,9,13,26,56,32,0,Matches
f1f1f238,Koray Günter,de GER,DF,Hellas Verona,25,1994,19.6,20,10,10,9,1,4,9,44.4,5,27,21,6,70,90,87,0,Matches
a69eb5fd,Manu Gyabuaa,it ITA,MF,Atalanta,18,2001,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
f9758dae,Emmanuel Gyasi,gh GHA,FW,Spezia,26,1994,31.7,30,16,16,10,4,9,31,29.0,22,13,2,11,14,44,8,0,Matches
e42d61c7,Achraf Hakimi,ma MAR,DF,Inter,21,1998,29.6,53,32,23,19,11,23,48,47.9,25,31,1,30,22,75,23,1,Matches
74419746,Samir Handanović,si SVN,GK,Inter,36,1984,36.0,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,6,3,Matches
5c397195,Lukáš Haraslín,sk SVK,"FW,MF",Sassuolo,24,1996,3.7,8,4,2,5,1,2,5,40.0,3,1,0,1,0,8,2,0,Matches
3b333ac3,Hans Hateboer,nl NED,DF,Atalanta,26,1994,19.6,28,17,12,14,2,13,23,56.5,10,8,1,7,17,45,9,0,Matches
