id,MP,Min,90s,Starts,Compl,Subs,unSub,PPM,onG,onGA,+/-,On-Off,onxG,onxGA,xG+/-,On-Off.1,MinGK,MPGK,StartsGK,90sGK
6e905b8d,0,0,0.0,0,0,0,10,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
6ea23758,1,79,0.9,1,0,0,0,0.0,1,1.0,0.0,-0.33,0.8,0.9,-0.1,-0.46,0,0,0,0.0
6ec1ddf1,6,375,4.2,4,3,2,0,1.33,6,7.0,-1.0,0.31,4.1,10.1,-6.0,-1.27,0,0,0,0.0
6f07caf2,0,0,0.0,0,0,0,2,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
6f1721f0,4,218,2.4,3,0,1,1,0.0,1,8.0,-7.0,-2.33,2.2,3.9,-1.8,-0.67,0,0,0,0.0
6f4cf369,6,540,6.0,6,6,0,0,1.64,10,10.0,0.0,0.0,9.9,7.3,2.6,0.0,0,0,0,0.0
6f8cd6d0,6,518,5.8,6,4,0,0,1.33,6,9.0,-3.0,-0.52,10.5,8.1,2.4,-1.99,0,0,0,0.0
6fd8a334,3,137,1.5,1,1,2,1,3.0,3,1.0,2.0,0.45,1.8,1.4,0.3,-0.41,0,0,0,0.0
6fdac234,6,160,1.8,2,0,4,0,0.83,1,5.0,-4.0,-1.78,1.7,4.2,-2.5,-1.59,0,0,0,0.0
6fe5c35b,10,900,10.0,10,10,0,0,1.7,15,12.0,3.0,0.0,15.9,13.1,2.8,0.0,900,10,10,10.0
6ff8ef56,5,134,1.5,1,0,4,2,2.2,5,2.0,3.0,1.86,3.0,1.0,1.9,1.26,0,0,0,0.0
7053a9ca,0,0,0.0,0,0,0,3,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
706c7880,0,0,0.0,0,0,0,3,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
706da989,0,0,0.0,0,0,0,2,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
7091324a,2,71,0.8,1,0,1,1,0.0,0,3.0,-3.0,-3.8,2.2,0.8,1.4,1.28,0,0,0,0.0
70c52749,6,540,6.0,6,6,0,0,0.17,3,11.0,-8.0,0.0,6.1,7.9,-1.9,0.0,0,0,0,0.0
