id,MP,Min,90s,Starts,Compl,Subs,unSub,PPM,onG,onGA,+/-,onxG,onxGA,xG+/-,MinGK,MPGK,StartsGK,90sGK
cb4e852b,3,4,0,0,0,3,10,3,0,0,0,0.0,0.0,0.0,0,0,0,0
cb9ec45d,26,1154,12,13,7,13,4,1,19,16,3,19.3,16.2,3.1,0,0,0,0
cc41f558,25,1724,19,19,16,6,4,1,29,25,4,23.6,22.7,0.8,0,0,0,0
cc588cbe,1,6,0,0,0,1,1,3,0,0,0,0.5,0.1,0.4,0,0,0,0
cc77354e,35,2894,32,35,24,0,0,1,47,38,9,40.5,39.0,1.6,0,0,0,0
cc83b74d,25,1928,21,21,14,4,0,1,27,27,0,23.9,30.1,-6.2,0,0,0,0
cc972842,1,30,0,0,0,1,0,0,0,0,0,0.3,1.0,-0.7,0,0,0,0
ccb1c3af,18,452,5,3,0,15,17,1,5,8,-3,3.4,7.4,-4.0,0,0,0,0
ccce7025,37,3309,36,37,35,0,1,2,63,23,40,46.9,29.3,17.6,0,0,0,0
ccee698e,0,0,0,0,0,0,13,0,0,0,0,0.0,0.0,0.0,0,0,0,0
cd0a4650,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0
cdc4458b,6,94,1,0,0,6,1,0,4,1,3,3.0,1.0,2.0,0,0,0,0
ce492295,9,712,7,8,5,1,12,0,8,17,-9,8.0,11.6,-3.6,0,0,0,0
ce4f40c7,33,2627,29,30,20,3,2,1,42,42,0,44.2,37.3,6.9,0,0,0,0
ce50fd99,37,2354,26,29,7,8,0,2,48,12,36,34.8,16.2,18.6,0,0,0,0
cecbce23,27,2430,27,27,27,0,4,1,29,35,-6,32.6,35.8,-3.1999999999999997,2430,27,27,27
cf1ef7ec,9,352,3,3,3,6,16,2,6,4,2,9.5,3.9,5.6,0,0,0,0
cfd41fad,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0
d0fc9f5f,0,0,0,0,0,0,8,0,0,0,0,0.0,0.0,0.0,0,0,0,0
d14229f3,20,589,6,5,0,15,13,1,11,5,6,12.2,5.2,7.0,0,0,0,0
d21e361a,17,414,4,4,0,13,7,1,6,8,-2,6.7,7.0,-0.3,0,0,0,0
d33c706e,30,2482,27,30,18,0,0,1,49,43,6,39.3,43.5,-4.1,0,0,0,0
d37aab95,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0
d3ce9f1f,7,296,3,3,1,4,31,0,5,9,-4,4.8,7.8,-2.9,0,0,0,0
d4133fa1,1,20,0,0,0,1,0,3,0,0,0,0.0,0.1,-0.1,0,0,0,0
d434e889,0,0,0,0,0,0,2,0,0,0,0,0.0,0.0,0.0,0,0,0,0
d4d35152,13,603,6,7,4,6,19,1,7,10,-3,11.4,8.8,2.6,0,0,0,0
d4fa7d01,15,1046,11,12,9,3,17,1,18,15,3,13.1,18.1,-5.0,0,0,0,0
d504b3e1,15,1082,12,12,9,3,0,3,10,15,-5,13.9,15.9,-2.0,0,0,0,0
d5575935,24,1645,18,17,11,7,1,1,23,20,3,18.1,24.5,-6.5,0,0,0,0
d56b9520,2,2,0,0,0,2,11,3,0,0,0,0.0,0.1,-0.1,0,0,0,0
d5f2f82b,25,2128,23,24,22,1,2,2,51,12,39,47.5,20.7,26.8,0,0,0,0
d63e2912,29,2385,26,26,21,3,1,1,40,37,3,35.0,35.7,-0.7,0,0,0,0
d6f6ce93,0,0,0,0,0,0,33,0,0,0,0,0.0,0.0,0.0,0,0,0,0
d7bf3d19,2,116,1,1,0,1,0,0,1,4,-3,0.3,5.3,-5.0,0,0,0,0
d83f8f69,0,0,0,0,0,0,16,0,0,0,0,0.0,0.0,0.0,0,0,0,0
d8992b84,26,1672,18,21,7,5,8,1,21,23,-2,19.9,21.1,-1.2,0,0,0,0
d9764034,28,2089,23,22,21,6,5,2,48,20,28,39.0,18.0,21.0,0,0,0,0
d9a66c60,19,234,2,1,0,18,14,1,4,6,-2,4.6,6.7,-2.1,0,0,0,0
da4d670f,1,2,0,0,0,1,11,3,0,0,0,0.1,0.0,0.1,0,0,0,0
dab1b8dc,0,0,0,0,0,0,37,0,0,0,0,0.0,0.0,0.0,0,0,0,0
db7849ca,36,2458,27,28,9,8,0,1,35,45,-10,33.9,42.1,-8.1,0,0,0,0
db87a2c4,1,90,1,1,1,0,3,0,0,1,-1,0.4,1.5,-1.1,90,1,1,1
ddcc9e22,1,15,0,0,0,1,0,0,0,1,-1,0.0,0.3,-0.2,0,0,0,0
de40e38c,2,92,1,1,0,1,2,1,0,1,-1,0.7,0.7,0.0,0,0,0,0
de488e56,22,1700,18,19,15,3,7,0,18,25,-7,21.1,23.3,-2.2,0,0,0,0
df97d94f,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0
dfb81359,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0
dff153a4,21,1302,14,16,5,5,6,1,35,14,21,28.8,14.7,14.1,0,0,0,0
e067808c,0,0,0,0,0,0,3,0,0,0,0,0.0,0.0,0.0,0,0,0,0
e0f3a1f6,24,1947,21,22,20,2,12,1,27,35,-8,29.5,31.3,-1.8,0,0,0,0
e1df6989,33,2379,26,28,13,5,1,1,33,39,-6,34.1,37.4,-3.2,0,0,0,0
e288d4b3,21,1538,17,18,10,3,5,2,35,13,22,37.5,14.7,22.8,0,0,0,0
e2f9bb5f,29,1229,13,14,2,15,6,1,16,20,-4,17.3,17.7,-0.4,0,0,0,0
e34fc66d,3,192,2,2,2,1,3,1,1,2,-1,4.4,2.0,2.3,0,0,0,0
e3ad3368,1,5,0,0,0,1,3,0,0,0,0,0.0,0.0,0.0,0,0,0,0
e3d0b0c4,34,2907,32,34,28,0,0,1,68,36,32,65.2,35.3,29.9,0,0,0,0
e3e05edf,13,558,6,5,3,8,7,1,9,11,-2,5.8,10.6,-4.8,0,0,0,0
e4448c8c,1,7,0,0,0,1,0,3,0,0,0,0.1,0.0,0.1,0,0,0,0
