,id,MP,Min,90s,Starts,Compl,Subs,unSub,PPM,onG,onGA,+/-,onxG,onxGA,xG+/-,MinGK,MPGK,StartsGK,90sGK
144,3814120d,0,0,0,0,0,0,31,0,0,0,0,0.0,0.0,0.0,0,0,0,0
145,392d98fc,8,74,0,0,0,8,5,1,0,3,-3,1.3,1.0,0.4,0,0,0,0
146,397ba086,1,2,0,0,0,1,1,3,0,0,0,0.0,0.0,0.0,0,0,0,0
147,39901146,10,434,4,3,0,7,0,0,5,10,-5,6.1,6.6,-0.5,0,0,0,0
148,3acddfdd,8,134,1,0,0,8,1,0,2,3,-1,2.7,2.6,0.1,0,0,0,0
149,3befc2b6,20,1475,16,18,12,2,2,1,25,16,9,22.6,17.1,5.5,0,0,0,0
150,3cefcaef,30,2531,28,27,26,3,1,1,52,34,18,51.5,33.4,18.1,0,0,0,0
151,3d3b0206,11,239,2,2,0,9,8,0,6,5,1,3.4,4.0,-0.6,0,0,0,0
152,3dd738a1,29,2528,28,29,26,0,0,1,39,30,9,37.7,31.8,5.8,0,0,0,0
153,3e092724,29,2360,26,27,22,2,1,1,20,22,-2,30.1,32.4,-2.3,0,0,0,0
154,3e87d087,16,1119,12,12,8,4,4,0,9,17,-8,8.5,23.4,-15.0,0,0,0,0
155,3eaf8817,35,2024,22,21,9,14,2,3,40,27,13,28.4,30.5,-2.1,0,0,0,0
156,3ef0fa48,16,1389,15,16,12,0,0,1,18,19,-1,21.8,19.3,2.5,0,0,0,0
157,3f5b4635,37,3292,36,37,36,0,0,1,51,41,10,48.8,39.9,8.9,0,0,0,0
158,403f5d20,14,863,9,10,7,4,14,1,4,12,-8,9.2,12.5,-3.3,0,0,0,0
159,41e7ef1c,19,1010,11,11,3,8,3,2,32,13,19,27.7,9.5,18.2,0,0,0,0
160,4207e578,30,1973,21,23,12,7,0,1,20,25,-5,20.0,27.0,-6.9,0,0,0,0
161,42c8ede1,4,56,0,0,0,4,2,0,2,1,1,1.6,0.1,1.5,0,0,0,0
162,42e8eba2,3,107,1,1,0,2,12,1,0,3,-3,0.4,3.0,-2.6,0,0,0,0
163,42eaa028,38,2796,31,34,12,4,0,1,49,25,24,46.0,32.8,13.3,0,0,0,0
164,42fd9c7f,29,2343,26,24,22,5,0,2,81,21,60,67.2,23.5,43.7,0,0,0,0
165,4315f30d,35,2994,33,34,32,1,2,1,27,29,-2,40.2,45.2,-5.0,0,0,0,0
166,433dc9a2,25,1836,20,21,15,4,0,2,55,15,40,46.7,20.6,26.1,0,0,0,0
167,43af5b1b,1,5,0,0,0,1,0,0,0,0,0,0.3,0.2,0.1,0,0,0,0
168,43e7a164,31,2754,30,31,30,0,1,0,19,40,-21,27.2,47.2,-19.9,0,0,0,0
169,44f8c299,18,1188,13,17,6,1,5,1,9,17,-8,13.0,17.0,-4.0,0,0,0,0
170,450e277f,30,2490,27,28,26,2,3,1,28,34,-6,33.1,35.7,-2.6,0,0,0,0
171,462475ed,25,1531,17,18,6,7,3,1,22,25,-3,17.6,23.3,-5.7,0,0,0,0
172,46291841,16,984,10,10,6,6,17,0,10,16,-6,13.8,17.3,-3.5,0,0,0,0
173,468fdbad,23,2059,22,23,21,0,1,1,36,28,8,24.6,26.6,-2.1,0,0,0,0
174,46907171,33,2246,25,25,8,8,0,1,32,31,1,29.6,30.3,-0.7,0,0,0,0
175,469d3d84,3,32,0,0,0,3,4,1,0,0,0,1.0,1.3,-0.3,0,0,0,0
176,46d50339,14,885,9,11,7,3,9,2,9,7,2,10.5,13.8,-3.2,0,0,0,0
177,4749367a,4,292,3,4,1,0,14,1,2,4,-2,3.5,4.1,-0.6,0,0,0,0
178,475583ff,20,1329,14,14,13,6,18,1,19,29,-10,20.4,23.8,-3.4,0,0,0,0
179,47af88b8,31,2754,30,31,29,0,2,1,55,43,12,60.7,36.7,24.0,0,0,0,0
180,4887118d,7,276,3,3,0,4,3,0,2,3,-1,2.9,3.2,-0.2,0,0,0,0
181,48b28bfd,17,1075,11,12,7,5,5,1,10,13,-3,15.6,13.9,1.7,0,0,0,0
182,49000148,9,721,8,9,4,0,1,0,7,12,-5,8.8,13.0,-4.1,0,0,0,0
183,49070d66,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0
184,4914ed4a,19,1429,15,16,10,3,0,1,17,17,0,21.1,19.9,1.3,0,0,0,0
185,4a57580c,23,1482,16,16,9,7,2,1,22,21,1,23.9,22.1,1.8,0,0,0,0
186,4b96c347,31,1635,18,18,4,13,2,1,25,29,-4,26.1,21.5,4.6,0,0,0,0
187,4be0b467,30,1591,17,19,2,11,1,1,25,17,8,28.3,21.4,6.9,0,0,0,0
188,4bf69118,30,2040,22,22,18,8,4,1,26,28,-2,27.5,27.2,0.2,0,0,0,0
189,4c5b714f,26,2076,23,22,22,4,0,0,21,36,-15,30.4,31.0,-0.6,0,0,0,0
190,4c700f46,22,1278,14,12,11,10,8,1,18,25,-7,21.1,17.8,3.3,0,0,0,0
191,4d1666ff,37,3330,37,37,37,0,0,1,34,41,-7,39.2,52.6,-13.5,0,0,0,0
192,4d3e9033,4,360,4,4,4,0,33,2,8,5,3,6.5,3.2,3.4,0,0,0,0
193,4db2157a,20,1669,18,19,13,1,0,1,28,22,6,26.4,22.5,4.0,0,0,0,0
194,4e7bfc23,20,1076,12,15,4,5,8,0,9,25,-16,10.4,21.6,-11.2,0,0,0,0
195,4e9957ff,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0
196,4f255115,10,704,7,8,4,2,7,1,6,6,0,8.3,9.4,-1.0,0,0,0,0
197,4fdf1fd9,33,2970,33,33,33,0,0,1,33,36,-3,34.0,38.4,-4.4,0,0,0,0
198,5046b7d4,32,2469,27,31,6,1,0,1,31,28,3,33.7,33.4,0.3,0,0,0,0
199,5113d9a7,9,717,8,7,7,2,3,0,5,19,-14,8.0,15.4,-7.4,0,0,0,0
200,51450467,1,15,0,0,0,1,7,1,2,0,2,0.9,0.1,0.8,0,0,0,0
201,5148dcc5,32,1486,16,16,5,16,4,2,36,21,15,35.9,20.6,15.4,0,0,0,0
202,516dc25b,23,1443,16,16,11,7,9,0,10,20,-10,17.4,20.7,-3.4,0,0,0,0
203,51c30111,13,1053,11,12,11,1,1,0,13,20,-7,10.0,20.9,-10.9,0,0,0,0
204,51dbeea9,27,1902,21,19,17,8,4,2,64,23,41,52.2,23.7,28.5,0,0,0,0
205,527f063d,21,1671,18,20,14,1,2,2,57,15,42,45.0,20.1,24.9,0,0,0,0
206,5314e067,25,1895,21,23,14,2,3,1,28,36,-8,23.8,37.3,-13.6,0,0,0,0
207,53283127,5,168,1,2,0,3,7,1,1,4,-3,0.9,1.8,-0.9,0,0,0,0
208,542cc80f,35,1789,19,18,13,17,1,1,28,22,6,23.1,24.6,-1.5,0,0,0,0
209,562ece0c,0,0,0,0,0,0,9,0,0,0,0,0.0,0.0,0.0,0,0,0,0
210,56f7a928,20,1680,18,20,15,0,0,0,18,30,-12,20.5,23.6,-3.1,0,0,0,0
211,574aa9ec,3,136,1,1,1,2,4,2,1,1,0,1.9,2.1,-0.2,0,0,0,0
212,57c433c8,2,144,1,2,0,0,1,1,2,2,0,0.7,1.5,-0.8,0,0,0,0
213,57e3f0c7,38,3324,36,37,28,1,0,1,66,28,38,57.8,39.0,18.9,0,0,0,0
214,586ef3a3,0,0,0,0,0,0,13,0,0,0,0,0.0,0.0,0.0,0,0,0,0
215,58ae47b2,31,1904,21,23,8,8,3,1,33,31,2,31.7,25.8,5.9,0,0,0,0
216,5b54bf3b,16,691,7,9,2,7,11,0,6,10,-4,7.2,10.2,-3.1,0,0,0,0
217,5b5724d2,23,1727,19,20,15,3,1,1,32,25,7,20.2,27.7,-7.6,0,0,0,0
218,5c2da10f,26,1204,13,14,2,12,3,2,33,14,19,23.6,17.1,6.6,0,0,0,0
219,5c4dc0ff,3,143,1,2,0,1,0,2,2,1,1,2.0,0.8,1.2,0,0,0,0
220,5cdddffa,34,2690,29,31,26,3,3,1,56,35,21,58.2,34.3,23.8,0,0,0,0
221,5d42d487,5,209,2,3,0,2,4,0,1,5,-4,1.6,2.4,-0.8,0,0,0,0
222,5d59e0df,19,1369,15,16,6,3,0,1,24,22,2,18.3,19.2,-0.9,0,0,0,0
223,5d8d7454,34,2916,32,33,31,1,0,0,27,45,-18,28.0,53.6,-25.6,0,0,0,0
224,5d9577aa,0,0,0,0,0,0,4,0,0,0,0,0.0,0.0,0.0,0,0,0,0
225,5e22e2a4,38,3245,36,37,33,1,0,1,38,48,-10,46.2,45.3,0.9,0,0,0,0
226,5ee6e943,21,1890,21,21,21,0,13,0,16,34,-18,22.2,31.5,-9.3,0,0,0,0
227,5f4ce4b6,14,720,8,9,2,5,13,0,8,12,-4,8.2,14.0,-5.8,0,0,0,0
228,6043997c,8,539,6,6,5,2,7,0,9,12,-3,7.9,10.3,-2.5,0,0,0,0
229,60d90c55,38,3420,38,38,38,0,0,0,29,54,-25,31.0,63.8,-32.8,0,0,0,0
230,61590953,12,698,7,8,5,4,15,2,18,9,9,14.9,6.4,8.5,0,0,0,0
231,6191093d,34,2372,26,27,15,7,2,0,20,42,-22,26.6,35.2,-8.6,0,0,0,0
232,62a54183,1,1,0,0,0,1,8,0,0,0,0,0.0,0.0,0.0,0,0,0,0
233,63a10528,6,204,2,2,1,4,2,1,3,5,-2,1.9,4.4,-2.5,0,0,0,0
