goals,shot,shot_on_target,tot_shot_dist,fk,pk,att_pk,xG,npxG,G__xG,npG__npxG,season,comp,id
1,8,2,104.8,0,0,0,0.7,0.7,0.3,0.3,18,ENG,74b2cd7e
2,15,5,264.0,0,0,0,2.2,2.2,-0.2,-0.2,18,ENG,74e12f1e
1,24,3,427.2,0,0,0,2.3,2.3,-1.3,-1.3,18,ENG,7527558b
0,2,0,23.2,0,0,0,0.1,0.1,-0.1,-0.1,18,ENG,758dd7f0
5,33,13,561.0,2,0,0,3.3,3.3,1.7,1.7,18,ENG,75f2c59f
0,4,0,89.2,0,0,0,0.1,0.1,-0.1,-0.1,18,ENG,76c131da
4,39,12,791.7,3,0,0,3.0,3.0,1.0,1.0,18,ENG,76dd1480
0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,18,ENG,76eca7e2
0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,18,ENG,76fa5f80
0,2,1,41.6,0,0,0,0.1,0.1,-0.1,-0.1,18,ENG,78803d03
0,5,3,53.5,0,0,0,0.4,0.4,-0.4,-0.4,18,ENG,78b8ac63
0,10,3,196.0,0,0,0,0.5,0.5,-0.5,-0.5,18,ENG,7914b9fe
0,5,0,109.5,0,0,0,0.3,0.3,-0.3,-0.3,18,ENG,7a11550b
0,1,0,17.2,0,0,0,0.0,0.0,0.0,0.0,18,ENG,7a1f2c08
0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,18,ENG,7b4de647
0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,18,ENG,7ba6d84e
2,28,7,568.4,1,0,0,2.4,2.4,-0.4,-0.4,18,ENG,7bb5f40e
0,4,0,44.8,0,0,0,1.0,1.0,-1.0,-1.0,18,ENG,7bc34048
0,3,0,60.6,0,0,0,0.1,0.1,-0.1,-0.1,18,ENG,7c104bb7
0,1,0,12.6,0,0,0,0.1,0.1,-0.1,-0.1,18,ENG,7c2a398c
0,7,1,193.9,0,0,0,0.2,0.2,-0.2,-0.2,18,ENG,7c4243d4
0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,18,ENG,7ca2d989
0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,18,ENG,7ca9f0f0
0,2,0,61.2,0,0,0,0.0,0.0,0.0,0.0,18,ENG,7d2d3329
2,18,6,433.8,0,0,0,1.2,1.2,0.8,0.8,18,ENG,7d41b619
1,16,6,291.2,1,0,0,1.6,1.6,-0.6,-0.6,18,ENG,7dbbe367
6,59,19,796.5,0,0,0,6.5,6.5,-0.5,-0.5,18,ENG,7f4f3e49
1,25,9,507.5,0,0,0,1.4,1.4,-0.4,-0.4,18,ENG,7fe90ccd
2,22,8,358.6,0,0,0,2.1,2.1,-0.1,-0.1,18,ENG,7fec31a0
0,13,2,132.6,0,0,0,1.6,1.6,-1.6,-1.6,18,ENG,80c31c97
8,56,23,996.8,0,0,0,7.1,7.1,0.9,0.9,18,ENG,810e3c74
8,60,23,1002.0,1,0,0,6.2,6.2,1.8,1.8,18,ENG,819aa8e7
4,34,10,666.4,1,1,1,3.0,2.3,1.0,0.7,18,ENG,819b3158
0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,18,ENG,82b1198a
1,6,2,75.0,0,0,0,1.0,1.0,0.0,0.0,18,ENG,82dbf623
5,31,10,530.1,0,3,5,6.9,2.8,-1.9,-0.8,18,ENG,82e34b69
0,2,1,35.0,0,0,0,0.1,0.1,-0.1,-0.1,18,ENG,8309b068
0,9,1,169.2,0,0,0,0.5,0.5,-0.5,-0.5,18,ENG,833fb62e
0,1,0,35.7,0,0,0,0.0,0.0,0.0,0.0,18,ENG,8397a50c
0,23,4,572.7,0,0,0,0.7,0.7,-0.7,-0.7,18,ENG,839c14e1
0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,18,ENG,85b011bb
0,4,0,108.4,0,0,0,0.1,0.1,-0.1,-0.1,18,ENG,861e0116
6,76,18,1687.2,5,0,0,7.7,7.7,-1.7,-1.7,18,ENG,867239d3
0,13,1,317.2,1,0,0,0.6,0.6,-0.6,-0.6,18,ENG,86dd77d1
0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,18,ENG,87449a74
4,10,7,85.0,0,0,0,3.5,3.5,0.5,0.5,18,ENG,87575fd9
0,15,2,216.0,0,0,0,1.3,1.3,-1.3,-1.3,18,ENG,875898c7
1,3,1,16.2,0,0,0,1.2,1.2,-0.2,-0.2,18,ENG,87935cf3
2,35,12,609.0,0,0,0,4.0,4.0,-2.0,-2.0,18,ENG,8816329f
12,73,36,1423.5,8,0,0,6.5,6.5,5.5,5.5,18,ENG,892d5bb1
0,1,0,16.9,0,0,0,0.0,0.0,0.0,0.0,18,ENG,89cbc961
0,7,1,130.9,0,0,0,0.6,0.6,-0.6,-0.6,18,ENG,89d10e53
0,2,1,20.2,0,0,0,0.1,0.1,-0.1,-0.1,18,ENG,89e4b358
0,5,1,82.0,0,0,0,0.2,0.2,-0.2,-0.2,18,ENG,8a7ff278
0,10,2,132.0,0,0,0,0.7,0.7,-0.7,-0.7,18,ENG,8aa5f52c
