matches_gk,starts_gk,minutes_gk,nineties_gk,goals_ag,sot_ag,saves,gk_won,gk_drew,gk_lost,cs,pk_att_ag,pk_scored_ag,pk_saved,pk_missed_ag,season,comp,id
37,37,3330,37.0,26,83,57,28,6,3,20,1,1,0,0,22,ENG,3bb7b8b4
1,0,36,0.4,0,4,4,0,0,0,0,0,0,0,0,22,ENG,3f70db80
1,1,90,1.0,0,2,2,1,0,0,1,0,0,0,0,22,ENG,42130443
34,34,3060,34.0,39,128,90,21,3,10,12,6,5,0,1,22,ENG,466fb2c5
35,35,3150,35.0,58,170,116,10,6,19,7,1,1,0,0,22,ENG,4806ec67
36,36,3240,36.0,47,165,119,7,14,15,9,5,5,0,0,22,ENG,4b40d9ca
37,37,3330,37.0,58,187,128,13,10,14,7,9,7,2,0,22,ENG,53af52f3
2,2,180,2.0,2,8,6,1,1,0,1,0,0,0,0,22,ENG,62d7ef38
37,37,3329,37.0,42,141,99,12,15,10,11,4,3,0,1,22,ENG,6a713852
38,38,3384,37.6,79,220,142,9,11,18,5,5,5,0,0,22,ENG,6b625ac2
2,2,180,2.0,6,13,8,0,0,2,0,0,0,0,0,22,ENG,76eca7e2
36,36,3240,36.0,48,140,93,13,6,17,11,6,4,1,1,22,ENG,7956236f
36,36,3240,36.0,24,99,76,27,7,2,20,0,0,0,0,22,ENG,7a2e46a8
3,3,270,3.0,8,18,11,1,0,2,1,1,1,0,0,22,ENG,7b4de647
38,38,3420,38.0,57,180,124,16,10,12,8,5,3,2,0,22,ENG,7ba6d84e
38,38,3420,38.0,40,137,98,22,5,11,16,2,2,0,0,22,ENG,8f62b6ee
37,37,3285,36.5,40,160,121,15,5,17,11,10,9,0,1,22,ENG,903b6e8b
37,37,3330,37.0,50,162,111,16,8,13,8,6,2,3,1,22,ENG,9328b835
2,2,180,2.0,5,7,2,0,0,2,0,0,0,0,0,22,ENG,939bc634
24,24,2160,24.0,27,103,76,10,5,9,8,4,4,0,0,22,ENG,98ea5115
2,2,180,2.0,5,11,6,0,1,1,0,0,0,0,0,22,ENG,a179d516
1,1,90,1.0,3,4,1,0,0,1,0,0,0,0,0,22,ENG,a8a3d139
30,30,2655,29.5,33,116,83,9,11,10,11,3,3,0,0,22,ENG,ab13a5aa
19,19,1710,19.0,35,101,68,6,5,8,3,2,2,0,0,22,ENG,c3e39f12
9,8,765,8.5,13,28,16,2,4,2,1,1,0,1,0,22,ENG,cc70a1d5
8,8,720,8.0,15,37,23,0,5,3,0,2,2,0,0,22,ENG,cde3309f
26,26,2340,26.0,49,116,67,5,5,16,4,4,3,1,0,22,ENG,d0b3ceb9
1,1,90,1.0,1,5,4,1,0,0,0,0,0,0,0,22,ENG,d3ce0e89
2,1,135,1.5,3,7,4,0,1,0,0,0,0,0,0,22,ENG,da8b19e2
9,9,810,9.0,22,57,34,1,2,6,1,4,2,1,1,22,ENG,e082af5b
1,1,90,1.0,3,5,2,0,0,1,0,0,0,0,0,22,ENG,e7ee38c3
12,12,1080,12.0,24,69,47,3,2,7,1,1,1,0,0,22,ENG,f127d782
29,29,2610,29.0,62,165,105,4,5,20,5,8,7,0,1,22,ENG,f23f9d20
2,2,180,2.0,3,11,9,0,1,1,0,0,0,0,0,23,ENG,10d221cd
2,2,180,2.0,2,4,2,0,2,0,1,0,0,0,0,23,ENG,17acc2ed
26,26,2340,26.0,37,140,103,11,4,11,7,4,4,0,0,23,ENG,2628fd2b
4,4,360,4.0,5,14,9,2,2,0,2,0,0,0,0,23,ENG,28300a16
20,20,1755,19.5,18,74,58,7,7,6,8,0,0,0,0,23,ENG,28d596a0
5,2,309,3.4,7,16,9,0,1,1,1,2,2,0,0,23,ENG,2f965a72
9,8,765,8.5,12,37,25,3,1,4,1,0,0,0,0,23,ENG,33887998
1,0,67,0.7,0,5,5,0,0,0,0,0,0,0,0,23,ENG,3a949a25
28,28,2520,28.0,26,61,36,20,4,4,10,3,3,0,0,23,ENG,3bb7b8b4
2,2,180,2.0,5,10,5,0,0,2,0,0,0,0,0,23,ENG,3f847d95
29,29,2610,29.0,27,95,69,23,3,3,12,3,2,0,1,23,ENG,466fb2c5
27,27,2430,27.0,40,133,93,5,8,14,6,4,4,0,0,23,ENG,4806ec67
26,26,2271,25.2,19,79,60,12,11,3,12,2,1,0,1,23,ENG,4b40d9ca
22,22,1980,22.0,29,72,45,10,5,7,6,6,5,1,0,23,ENG,6a713852
28,28,2520,28.0,48,128,81,6,8,14,5,3,3,0,0,23,ENG,6b625ac2
2,2,180,2.0,4,11,7,0,1,1,0,0,0,0,0,23,ENG,76eca7e2
26,26,2284,25.4,32,103,74,11,5,10,8,4,3,1,0,23,ENG,7956236f
27,27,2430,27.0,33,113,81,12,6,9,10,3,2,1,0,23,ENG,7a2e46a8
1,1,90,1.0,0,4,4,1,0,0,1,0,0,0,0,23,ENG,7b4de647
26,26,2340,26.0,35,104,70,15,5,6,11,1,1,0,0,23,ENG,7ba6d84e
21,21,1890,21.0,29,95,67,12,2,7,7,1,1,0,0,23,ENG,8f62b6ee
29,29,2610,29.0,42,127,84,7,7,15,7,3,1,2,0,23,ENG,903b6e8b
24,24,2031,22.6,27,94,67,6,5,13,4,2,1,1,0,23,ENG,9328b835
28,28,2520,28.0,37,154,119,10,13,5,9,2,2,0,0,23,ENG,98ea5115
18,18,1575,17.5,24,87,64,5,6,7,4,5,4,0,1,23,ENG,a9dc785c
27,27,2430,27.0,34,116,84,7,9,11,6,2,2,0,0,23,ENG,ab13a5aa
7,7,630,7.0,11,30,18,3,2,2,2,2,1,1,0,23,ENG,c3e39f12
28,28,2520,28.0,46,103,60,6,5,17,4,1,0,1,0,23,ENG,c91441dc
26,26,2340,26.0,46,119,75,7,3,16,6,3,2,1,0,23,ENG,d3ce0e89
18,18,1620,18.0,31,85,52,5,5,8,6,5,2,2,1,23,ENG,e5a76dfe
3,2,236,2.6,7,16,9,1,0,1,1,1,1,0,0,23,ENG,e7ee38c3
