matches,minutes,nineties,starts,completed,sub,sub_unused,onpitch_goals,onpitch_goals_ag,onpitch_goals_delta,onpitch_xg,onpitch_xga,onpitch_xg_delta,season,comp,id
7,362,4,4,3,3,11,11,0,11,8.3,2.5,5,18,ENG,691bef82
19,1286,14,17,5,2,0,18,22,-4,14.0,24.2,-10,18,ENG,6992791d
22,1980,22,22,21,0,5,19,33,-14,21.2,27.9,-6,18,ENG,6adbc307
33,2898,32,33,30,0,0,46,44,2,41.4,39.5,1,18,ENG,6b47c5db
33,2421,26,27,16,6,1,28,29,-1,26.5,30.9,-4,18,ENG,6c679c6d
4,168,1,1,1,3,2,0,4,-4,0.5,4.1,-3,18,ENG,6c96b263
26,1830,20,22,5,4,10,36,26,10,35.6,25.5,10,18,ENG,6ca5ec4b
6,224,2,3,0,3,6,3,8,-5,3.3,5.6,-2,18,ENG,6cc47ae1
23,1902,21,22,17,1,0,30,31,-1,27.4,27.7,0,18,ENG,6cdd8245
6,163,1,1,0,5,4,1,2,-1,1.8,1.1,0,18,ENG,6d6f09dc
24,1307,14,16,3,8,7,12,21,-9,13.0,22.3,-9,18,ENG,6dfd5af0
24,2103,23,24,23,0,4,24,32,-8,23.5,32.0,-8,18,ENG,6eaed4eb
11,769,8,7,6,4,18,10,14,-4,10.8,10.0,0,18,ENG,6fd8a334
16,851,9,11,2,5,4,9,14,-5,10.1,12.4,-2,18,ENG,715fc0fe
34,3039,33,34,33,0,1,64,48,16,60.3,43.1,17,18,ENG,71672fa0
35,2804,31,32,21,3,3,35,35,0,36.5,41.4,-4,18,ENG,71ef519e
33,2751,30,32,24,1,1,38,42,-4,32.1,40.1,-8,18,ENG,72c812f3
37,3292,36,37,35,0,0,32,52,-20,35.1,48.2,-13,18,ENG,7314bba4
24,1997,22,24,12,0,0,18,17,1,15.9,28.6,-12,18,ENG,73489527
14,1179,13,13,13,1,8,9,18,-9,10.6,19.4,-8,18,ENG,7391c2d9
31,1567,17,14,10,17,4,18,27,-9,20.4,31.8,-11,18,ENG,73d9bdc7
32,2880,32,32,32,0,5,43,60,-17,32.0,49.5,-17,18,ENG,74b2cd7e
38,3420,38,38,38,0,0,36,39,-3,32.3,51.2,-18,18,ENG,74e12f1e
28,1540,17,16,8,12,3,20,31,-11,20.8,26.4,-5,18,ENG,7527558b
21,1758,19,20,18,1,17,17,31,-14,16.5,32.4,-15,18,ENG,758dd7f0
32,1624,18,18,6,14,0,23,34,-11,22.8,24.1,-1,18,ENG,75f2c59f
9,229,2,2,0,7,10,2,2,0,2.1,2.6,0,18,ENG,76c131da
27,2259,25,25,20,2,2,31,40,-9,26.3,37.5,-11,18,ENG,76dd1480
27,2430,27,27,27,0,9,29,41,-12,35.9,36.8,0,18,ENG,76eca7e2
1,71,0,1,0,0,16,0,2,-2,0.2,1.0,0,18,ENG,76fa5f80
25,2016,22,23,19,2,10,16,23,-7,18.6,28.6,-10,18,ENG,78803d03
11,276,3,2,0,9,2,3,5,-2,3.3,5.3,-2,18,ENG,78b8ac63
27,2086,23,24,22,3,7,35,24,11,33.5,22.5,11,18,ENG,7914b9fe
23,1902,21,21,21,2,6,47,22,25,41.1,18.6,22,18,ENG,7a11550b
12,442,4,4,4,8,17,3,6,-3,6.2,6.9,0,18,ENG,7a1f2c08
38,3420,38,38,38,0,0,45,61,-16,38.8,59.2,-20,18,ENG,7b4de647
37,3330,37,37,37,0,0,67,28,39,55.3,40.1,15,18,ENG,7ba6d84e
30,2093,23,23,13,7,1,24,32,-8,23.1,26.2,-3,18,ENG,7bb5f40e
17,1243,13,14,10,3,5,10,27,-17,11.9,22.0,-10,18,ENG,7bc34048
7,159,1,1,0,6,10,7,6,1,3.7,3.6,0,18,ENG,7c104bb7
3,198,2,3,1,0,0,4,3,1,4.4,3.8,0,18,ENG,7c2a398c
11,754,8,9,4,2,9,4,16,-12,6.3,13.2,-7,18,ENG,7c4243d4
1,90,1,1,1,0,37,1,1,0,0.2,1.3,-1,18,ENG,7ca2d989
2,46,0,0,0,2,4,0,0,0,0.4,0.4,0,18,ENG,7ca9f0f0
8,378,4,4,2,4,0,6,9,-3,6.8,5.8,1,18,ENG,7d2d3329
25,1856,20,20,19,5,11,20,29,-9,19.3,31.5,-12,18,ENG,7d41b619
25,1923,21,22,16,3,0,20,35,-15,21.9,26.4,-4,18,ENG,7dbbe367
35,2596,28,30,19,5,0,29,49,-20,26.9,43.6,-16,18,ENG,7f4f3e49
22,1098,12,12,5,10,9,21,15,6,21.7,11.6,10,18,ENG,7fe90ccd
28,1947,21,21,19,7,10,30,41,-11,23.0,34.2,-11,18,ENG,7fec31a0
32,2817,31,32,31,0,1,48,52,-4,40.9,41.7,0,18,ENG,80c31c97
33,1817,20,20,3,13,4,41,18,23,29.6,23.2,6,18,ENG,810e3c74
36,2492,27,28,15,8,2,33,28,5,33.3,33.1,0,18,ENG,819aa8e7
30,1517,16,15,9,15,4,44,14,30,32.9,12.5,20,18,ENG,819b3158
5,381,4,4,4,1,29,10,3,7,8.0,4.7,3,18,ENG,82b1198a
16,238,2,1,0,15,13,5,2,3,7.7,4.5,3,18,ENG,82dbf623
29,1844,20,20,13,9,1,24,28,-4,26.4,23.9,2,18,ENG,82e34b69
1,90,1,1,1,0,8,0,2,-2,0.5,1.6,-1,18,ENG,8309b068
8,278,3,3,0,5,4,1,7,-6,1.6,4.7,-3,18,ENG,833fb62e
4,201,2,3,1,1,4,1,5,-4,1.0,3.7,-2,18,ENG,8397a50c
32,2794,31,32,29,0,0,31,44,-13,33.5,35.2,-1,18,ENG,839c14e1
15,1292,14,14,14,1,17,12,24,-12,15.5,18.7,-3,18,ENG,85b011bb
5,335,3,4,3,1,1,2,6,-4,1.9,5.6,-3,18,ENG,861e0116
27,2148,23,25,19,2,0,48,20,28,39.1,25.8,13,18,ENG,867239d3
32,2785,30,32,29,0,4,87,22,65,64.8,19.6,45,18,ENG,86dd77d1
1,20,0,0,0,1,2,0,2,-2,0.0,1.0,-1,18,ENG,87449a74
16,683,7,5,4,11,0,19,1,18,13.8,7.4,6,18,ENG,87575fd9
28,2520,28,28,28,0,6,27,42,-15,26.3,33.6,-7,18,ENG,875898c7
19,1600,17,18,17,1,2,24,23,1,26.0,22.0,4,18,ENG,87935cf3
28,1784,19,19,12,9,0,17,22,-5,20.6,24.4,-3,18,ENG,8816329f
36,2950,32,34,22,2,0,49,51,-2,42.0,40.5,1,18,ENG,892d5bb1
4,121,1,1,0,3,3,2,2,0,1.3,1.8,0,18,ENG,89cbc961
10,800,8,9,6,1,10,18,14,4,14.0,10.9,3,18,ENG,89d10e53
7,523,5,5,5,2,2,2,6,-4,5.3,4.3,1,18,ENG,89e4b358
19,1613,17,19,16,0,4,16,25,-9,23.2,20.3,2,18,ENG,8a7ff278
28,2210,24,24,21,4,5,26,45,-19,25.3,33.3,-8,18,ENG,8aa5f52c
1,7,0,0,0,1,5,1,0,1,0.1,0.0,0,18,ENG,8aadeaef
12,994,11,12,10,0,5,18,17,1,14.2,13.9,0,18,ENG,8abd0c03
37,3265,36,37,35,0,0,28,53,-25,30.1,46.6,-16,18,ENG,8ae9869d
38,2928,32,35,11,3,0,34,46,-12,34.0,40.1,-6,18,ENG,8aec0537
23,1670,18,19,14,4,8,18,30,-12,16.6,21.2,-4,18,ENG,8b04d6c1
3,164,1,1,1,2,5,2,3,-1,1.5,2.3,0,18,ENG,8b0d6fe9
1,5,0,0,0,1,0,0,0,0,0.0,0.0,0,18,ENG,8b6e0db2
30,1582,17,18,5,12,4,34,13,21,27.0,22.1,4,18,ENG,8b788c01
3,16,0,0,0,3,3,0,0,0,0.1,0.1,0,18,ENG,8b8e759d
36,1890,21,20,11,16,1,35,19,16,28.0,16.9,11,18,ENG,8b9ebd03
9,547,6,7,3,2,10,4,14,-10,4.5,11.8,-7,18,ENG,8cceca90
24,1037,11,10,3,14,1,14,15,-1,15.3,10.5,4,18,ENG,8d228291
33,2799,31,32,27,1,0,41,57,-16,29.5,43.8,-14,18,ENG,8d3c902d
29,2610,29,29,29,0,0,27,27,0,24.9,39.6,-14,18,ENG,8df7a2fb
11,990,11,11,11,0,18,16,14,2,17.6,11.4,6,18,ENG,8e65a5e5
36,3240,36,36,36,0,0,72,35,37,62.7,32.3,30,18,ENG,8f62b6ee
28,1081,12,11,3,17,10,13,17,-4,12.4,13.5,-1,18,ENG,8f866fe8
7,450,5,5,2,2,1,5,8,-3,4.5,6.0,-1,18,ENG,8f898ba8
8,688,7,8,6,0,5,9,11,-2,7.3,8.7,-1,18,ENG,90f87966
28,2330,25,27,24,1,1,31,43,-12,30.5,34.8,-4,18,ENG,914ab9a1
2,33,0,0,0,2,9,0,1,-1,0.0,1.0,-1,18,ENG,91bdc54a
33,1900,21,20,8,13,2,27,24,3,22.3,25.9,-3,18,ENG,9228b07c
37,2317,25,27,7,10,1,56,18,38,45.9,21.5,24,18,ENG,92e7e919
30,2398,26,29,17,1,2,20,39,-19,21.1,35.6,-14,18,ENG,9306d5ea
38,3420,38,38,38,0,0,28,56,-28,31.6,58.6,-27,18,ENG,9328b835
27,2171,24,25,21,2,4,52,21,31,42.6,21.9,20,18,ENG,935e6b8f
38,3420,38,38,38,0,0,28,58,-30,31.3,48.5,-17,18,ENG,939bc634
4,156,1,2,1,2,17,1,3,-2,3.2,2.2,0,18,ENG,93ee387c
23,1349,15,13,11,10,13,40,11,29,30.1,11.1,19,18,ENG,94b2001f
13,1138,12,13,11,0,0,10,17,-7,10.0,21.9,-12,18,ENG,960acc0a
15,1277,14,15,13,0,0,14,12,2,9.6,19.8,-10,18,ENG,96bb8cc2
