y_card,r_card,two_y_card,fouls,fouled,offside,pens_won,pens_con,own_goal,recov,aerials_won,aerials_lost,aerials_attempted,season,comp,id
2,0,0,9,14,1,0,0,0,123,32,44,76,18,ENG,7d41b619
4,0,0,28,29,1,0,0,0,148,32,36,68,18,ENG,7dbbe367
6,0,0,38,39,23,0,0,0,75,142,158,300,18,ENG,7f4f3e49
0,0,0,7,10,5,0,0,0,67,14,6,20,18,ENG,7fe90ccd
8,0,0,38,25,2,0,1,0,151,54,55,109,18,ENG,7fec31a0
4,0,0,31,12,1,0,0,0,99,91,57,148,18,ENG,80c31c97
2,0,0,34,36,4,0,0,0,84,5,25,30,18,ENG,810e3c74
3,0,0,36,53,14,0,0,1,126,43,87,130,18,ENG,819aa8e7
3,0,0,14,19,0,0,0,0,124,3,12,15,18,ENG,819b3158
0,0,0,0,4,0,0,0,0,13,2,0,2,18,ENG,82b1198a
1,0,0,4,4,2,0,0,0,4,14,17,31,18,ENG,82dbf623
1,1,0,24,17,16,0,0,0,52,132,182,314,18,ENG,82e34b69
0,0,0,1,1,1,0,0,0,5,2,2,4,18,ENG,8309b068
0,0,0,1,7,1,0,0,0,8,2,5,7,18,ENG,833fb62e
1,0,0,2,1,0,0,0,0,14,2,2,4,18,ENG,8397a50c
3,0,0,16,19,3,0,0,0,155,30,62,92,18,ENG,839c14e1
0,0,0,0,1,0,0,0,0,15,5,0,5,18,ENG,85b011bb
0,0,0,4,5,1,0,0,0,15,3,2,5,18,ENG,861e0116
5,1,0,44,51,3,0,0,0,161,49,29,78,18,ENG,867239d3
3,2,1,17,19,2,0,0,1,175,69,33,102,18,ENG,86dd77d1
0,0,0,1,0,0,0,0,0,0,0,0,0,18,ENG,87449a74
1,0,0,13,12,3,0,0,0,46,37,25,62,18,ENG,87575fd9
7,0,0,22,15,0,0,1,0,200,61,50,111,18,ENG,875898c7
1,0,0,3,9,0,0,0,0,140,39,35,74,18,ENG,87935cf3
1,0,0,10,26,6,0,0,0,107,13,68,81,18,ENG,8816329f
2,0,0,23,58,10,0,0,0,174,28,52,80,18,ENG,892d5bb1
1,0,0,3,2,0,0,0,0,9,7,4,11,18,ENG,89cbc961
4,0,0,12,24,0,0,0,0,45,8,5,13,18,ENG,89d10e53
1,0,0,2,1,0,0,0,0,32,10,6,16,18,ENG,89e4b358
4,0,0,25,29,1,0,0,1,100,33,25,58,18,ENG,8a7ff278
