att_tackle,cmp_tackle,att_tackle_def,att_tackle_mid,att_tackle_att,cmp_drib_tackle,att_drib_tackle,uns_drib_tackle,block,block_shot,block_pass,intercept,tackle_plus_intercept,clearance,error,season,comp,id
93,64,29,59,5,26,89,63,51,12,39,69,162,48,0,18,ENG,9306d5ea
0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,18,ENG,9328b835
51,33,13,32,6,18,52,34,33,2,31,31,82,27,0,18,ENG,935e6b8f
1,0,1,0,0,1,5,4,0,0,0,4,5,13,6,18,ENG,939bc634
4,3,2,2,0,1,3,2,0,0,0,3,7,4,0,18,ENG,93ee387c
43,29,25,12,6,19,35,16,15,6,9,19,62,33,0,18,ENG,94b2001f
53,28,22,25,6,16,41,25,21,9,12,13,66,18,0,18,ENG,960acc0a
32,21,14,17,1,8,28,20,17,3,14,7,39,29,0,18,ENG,96bb8cc2
16,14,7,7,2,6,19,13,5,3,2,7,23,23,0,18,ENG,96e0490d
64,39,43,17,4,28,43,15,20,9,11,27,91,93,0,18,ENG,97572117
7,5,1,5,1,2,7,5,7,0,7,3,10,3,0,18,ENG,977ffc24
51,29,16,30,5,17,59,42,38,1,37,31,82,21,0,18,ENG,980522ec
5,4,4,1,0,2,4,2,2,0,2,3,8,8,0,18,ENG,984a5a64
34,19,21,11,2,10,29,19,31,7,24,29,63,34,1,18,ENG,987718f5
16,10,4,10,2,3,17,14,11,2,9,8,24,21,1,18,ENG,989d5705
32,21,17,14,1,11,36,25,14,0,14,14,46,14,0,18,ENG,98be0d02
3,1,3,0,0,2,10,8,3,0,3,1,4,1,0,18,ENG,99813635
6,3,2,2,2,1,11,10,9,4,5,1,7,13,0,18,ENG,9a104dee
3,3,0,3,0,1,2,1,1,0,1,1,4,1,0,18,ENG,9a8c6673
55,34,26,27,2,28,60,32,35,15,20,39,94,141,2,18,ENG,9a9c05db
21,16,7,10,4,12,30,18,22,10,12,17,38,45,0,18,ENG,9aa186b2
7,3,2,4,1,2,10,8,6,1,5,13,20,13,2,18,ENG,9aacb284
15,10,3,7,5,4,20,16,10,2,8,8,23,5,0,18,ENG,9c318325
18,15,10,7,1,11,18,7,16,2,14,4,22,22,1,18,ENG,9c94165b
