id,Player,Nation
0eb8ee41,Oscar Dorley,Liberia
0ed063d6,Yasser Larouci,Algeria
0ed60738,Senne Lynen,Belgium
0ee664db,Metehan Güçlü,Turkey
0eeafda5,Rolando,Portugal
0ef05b3e,Frank Boeckx,Belgium
0ef89a37,Philippe Coutinho,Brazil
0efacb06,Junior Kabananga,DR Congo
0f0aa5b4,Kenneth Omeruo,Nigeria
0f134faf,Mathias Jensen,Denmark
0f138d5a,Andreu Fontàs,Spain
0f22b650,Lee Seung-woo,South Korea
0f26fd24,Anastasios Donis,Greece
0f26ffd7,Copete,Spain
0f276764,Hannes Þór Halldórsson,Iceland
0f41e2ee,Morato,Brazil
0f47717b,Demba Thiam,Senegal
0f4c0bad,Alexis Alegue,France
0f52f925,Lucas Lima,Brazil
0f59a7bf,Anton Stach,Germany
0f5e0b8a,Radim Řezník,Czech Republic
0f697e02,Nathan Bitu Mazala,France
0f6e3474,Lindrit Kamberi,Switzerland
0f7533cd,Bobby Reid,Jamaica
0f7dbaf6,Jokin Ezkieta,Spain
0f816ae5,Morten Konradsen,Norway
0f8418aa,Ibrahima Sissoko,France
0f86995c,Hianga Mananga Mbock,France
0f87f8c2,Ibrahim Cissé,Senegal
0f888175,Thorsten Schick,Austria
0f8bd0a6,Fábio Coentrão,Portugal
0f933743,Francisco Sierralta,Chile
0f9b8301,Cristian Battocchio,Italy
0fb21da9,Romain Métanire,Madagascar
0fb5e2ad,Ryan Klapp,Luxembourg
0fbb73c2,Laurent Jans,Luxembourg
0fbecd11,Dominik Kohr,Germany
0fd37a3d,Mihai Bordeianu,Romania
0fdcef0e,Kristjan Asllani,Albania
0fe7f7bc,Giovanni Sio,Ivory Coast
0fee6bda,Martin Erlic,Croatia
0ff630d0,Akim Zedadka,Algeria
0ff67313,Joan Monterde,Spain
0ff9eabc,Karim El Ahmadi,Morocco
0fffd034,Fransérgio Rodrigues Barbosa, Unknown
1000a059,Stuart McKinstry,Scotland
1001ae82,Ryad Boudebouz,Algeria
10072610,Claudio Bravo,Chile
1013b476,Lovro Cvek,Croatia
10161491,Conor Hazard,Northern Ireland
101da2b5,Fernandinho,Brazil
10206347,Nenad Milijaš,Serbia
1025db8e,Jeffrey Gouweleeuw,Netherlands
102c9665,Alexsandro Ribeiro,Brazil
102e2599,Tommaso Baldanzi,Italy
102fda08,Daniel Molina Orta,Spain
103b7264,Jakub Iskra,Poland
1040e783,Romain Genevois,Haiti
104b4ad3,Alberth Elis,Honduras
10549b49,Sardar Azmoun,Iran
1055fa53,Markus Wostry,Austria
1061c207,Jérôme Prior,France
10650926,Ismaël Diomandé,Ivory Coast
106bca06,Alessandro Schöpf,Austria
106c142c,Jesus Vazquez,Spain
10745192,Jamie Bynoe-Gittens,England
1079c685,Alberto Cerri,Italy
108fe016,Marcos Antônio,Brazil
10a10454,Joe Rothwell,England
10a81962,Darko Glišić,North Macedonia
10b26721,Alexandr Belousov,Moldova
10b9fa99,Ethan Ampadu,Wales
10d58a78,Paolo Hurtado,Peru
10d8eff2,Miquel Nelom,Netherlands
10dc46f0,Salvatore Sirigu,Italy
10dd88f9,Gaëtan Perrin,France
10e25802,Esteban Rolón,Argentina
10e7f486,Rogério,Brazil
10ec4169,Alexander Mighten,England
10efd0e1,Jean Seri,Ivory Coast
10f0fdd3,Jean-Ricner Bellegarde,France
10f1cd17,Pipa,Spain
