fk_ag,ck_ag,og_ag,ps_xG,ps_xG_delta,cmp_launch,att_launch,att_gk_pass,att_gk_throw,gk_pass_len,att_goal_kick,goal_kick_len,att_cross_ag,stop_cross_ag,def_outside_pen,def_outside_pen_dist,goal_kicks_launched,season,comp,id
1,5,1,37.6,-1.4,115,279,676,161,20956.0,278,7367,567,33,639,14.2,79,22,ENG,8f62b6ee
1,1,1,46.3,7.3,121,412,844,216,29286.8,261,9630,549,43,532,13.3,113,22,ENG,903b6e8b
2,8,2,46.8,-1.2,193,525,736,164,28115.2,277,12298,595,28,124,10.4,165,22,ENG,9328b835
0,0,0,3.2,-1.8,9,25,48,6,1713.6,13,412,30,1,113,22.7,4,22,ENG,939bc634
1,3,0,26.2,-0.8,225,527,876,118,31711.2,202,10079,402,27,553,15.8,138,22,ENG,98ea5115
0,1,0,3.3,-1.7,17,36,47,0,1804.8,13,734,33,1,56,14.0,12,22,ENG,a179d516
0,0,0,2.2,-0.8,3,11,32,7,972.8,6,187,11,1,16,16.3,2,22,ENG,a8a3d139
1,10,0,28.8,-4.2,105,282,778,182,22017.4,201,6331,386,17,586,16.3,75,22,ENG,ab13a5aa
0,5,2,32.4,-0.6,105,330,461,71,18255.6,140,6930,285,19,295,12.3,99,22,ENG,c3e39f12
1,1,2,9.7,-1.3,25,93,221,40,6585.8,66,2395,139,11,78,11.2,30,22,ENG,cc70a1d5
0,1,1,9.5,-4.5,72,163,187,28,8321.5,62,3515,106,5,42,10.5,48,22,ENG,cde3309f
0,3,1,37.1,-10.9,196,622,657,76,29367.9,223,13513,455,20,588,15.9,201,22,ENG,d0b3ceb9
0,1,0,1.4,0.4,2,5,26,8,670.8,7,135,18,1,10,10.7,0,22,ENG,d3ce0e89
0,1,0,2.9,-0.1,1,11,19,4,685.9,14,399,13,1,14,14.2,3,22,ENG,da8b19e2
0,2,0,19.3,-2.7,45,129,219,47,7555.5,86,2967,175,3,242,17.3,34,22,ENG,e082af5b
0,0,0,2.2,-0.8,8,25,26,7,995.8,20,972,28,5,0,5.8,13,22,ENG,e7ee38c3
0,5,2,19.9,-2.1,64,216,433,60,14678.7,83,3062,194,9,302,16.8,41,22,ENG,f127d782
1,7,2,48.3,-11.7,134,399,847,168,29052.1,224,8982,442,14,239,12.6,107,22,ENG,f23f9d20
0,1,0,0.2,-0.8,3,17,26,4,780.0,10,532,21,1,13,13.0,8,23,ENG,10d221cd
0,0,0,2.0,0.0,16,47,46,3,2116.0,15,900,26,1,28,14.0,13,23,ENG,17acc2ed
1,6,0,39.4,4.4,102,296,760,132,23560.0,180,6624,333,26,510,15.0,73,23,ENG,2628fd2b
0,1,0,2.0,0.0,6,16,101,13,2312.9,8,88,21,2,87,17.4,0,23,ENG,28300a16
1,3,2,19.3,5.3,45,135,553,95,14156.8,128,4172,238,10,623,17.8,49,23,ENG,28d596a0
0,1,0,7.3,0.3,14,37,61,14,2037.4,30,990,47,2,10,10.3,13,23,ENG,2f965a72
0,4,0,11.7,-0.3,27,76,212,42,5957.2,56,2088,117,8,124,13.8,27,23,ENG,33887998
0,0,0,1.1,1.1,3,5,16,7,340.8,6,244,13,1,0,14.8,3,23,ENG,3a949a25
1,2,1,19.9,-4.1,85,196,824,115,23072.0,120,3936,218,19,518,16.2,37,23,ENG,3bb7b8b4
0,0,0,2.3,-2.7,8,27,68,8,2046.8,15,550,25,1,46,15.4,7,23,ENG,3f847d95
0,5,1,26.3,1.3,82,303,687,136,22945.8,104,5054,288,15,588,16.8,61,23,ENG,466fb2c5
1,4,0,42.9,2.9,191,563,725,121,30087.5,234,12355,414,13,458,14.8,167,23,ENG,4806ec67
0,5,0,20.2,1.2,85,270,503,167,16599.0,144,7473,318,23,977,18.8,102,23,ENG,4b40d9ca
0,4,3,24.1,-1.9,56,201,616,98,18048.8,127,4559,220,17,162,12.5,49,23,ENG,6a713852
1,6,1,36.8,-6.2,83,363,623,160,21057.4,214,9116,351,30,951,16.4,117,23,ENG,6b625ac2
0,1,0,3.8,-0.2,16,26,41,8,1521.1,15,628,22,0,35,17.8,9,23,ENG,76eca7e2
1,5,4,27.7,-0.3,133,338,760,93,24928.0,156,6255,330,40,536,14.9,75,23,ENG,7956236f
0,0,2,37.2,10.2,77,181,863,160,22783.2,141,4131,285,14,985,19.7,30,23,ENG,7a2e46a8
0,0,0,0.5,0.5,4,13,22,5,767.8,8,374,23,1,0,5.0,5,23,ENG,7b4de647
2,5,1,30.2,-3.8,91,297,689,94,21772.4,116,5672,377,11,308,14.7,77,23,ENG,7ba6d84e
0,2,1,25.7,-2.3,68,179,459,94,14366.7,163,4058,274,16,366,14.1,38,23,ENG,8f62b6ee
0,5,1,36.3,-3.7,103,329,740,143,22348.0,211,9516,428,34,348,13.4,126,23,ENG,903b6e8b
0,0,1,27.2,1.2,120,323,447,108,17433.0,153,6930,323,21,141,11.8,93,23,ENG,9328b835
0,7,2,34.6,2.6,255,620,955,123,37340.5,195,10198,438,40,696,16.2,141,23,ENG,98ea5115
0,6,1,25.3,3.3,108,271,349,78,13506.3,137,6343,349,26,202,11.9,98,23,ENG,a9dc785c
0,4,2,32.1,1.1,113,318,609,133,19914.3,205,7687,406,25,343,13.2,101,23,ENG,ab13a5aa
0,4,0,10.0,-1.0,11,35,125,38,3300.0,44,1170,84,3,189,17.2,11,23,ENG,c3e39f12
1,7,4,29.9,-12.1,190,559,812,126,31343.2,200,10300,398,31,677,15.4,140,23,ENG,c91441dc
2,6,4,36.5,-5.5,94,303,750,154,22800.0,190,6669,355,20,667,15.9,80,23,ENG,d3ce0e89
1,5,0,26.9,-4.1,108,334,513,107,19750.5,156,7066,291,20,421,15.6,92,23,ENG,e5a76dfe
