id,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
741418c3,Alexis Claude-Maurice,fr FRA,"MF,FW",Lens,24-284,1998,5.2,9,5,5,3,1,4,7,57.1,3,4,0,4,1,10,1,0,Matches
5219ab4a,Jonathan Clauss,fr FRA,DF,Marseille,30-173,1992,19.0,29,18,10,13,6,12,29,41.4,17,18,2,16,21,50,26,2,Matches
3010aefb,Marcus Coco,fr FRA,"DF,FW",Nantes,26-266,1996,3.6,11,5,5,2,4,3,9,33.3,6,8,3,5,8,19,4,0,Matches
c4065f40,Alexandre Coeff,fr FRA,DF,Auxerre,31-025,1992,6.5,10,5,6,4,0,4,9,44.4,5,9,4,5,8,18,35,1,Matches
cfa49cc1,Abdu Conté,pt POR,DF,Troyes,24-358,1998,12.1,21,14,12,6,3,11,20,55.0,9,11,6,5,6,27,21,0,Matches
0e7ccfc4,Sébastien Corchia,fr FRA,"DF,MF",Nantes,32-136,1990,6.8,14,6,9,1,4,10,19,52.6,9,7,2,5,7,21,17,0,Matches
59948ef7,David Pereira da Costa,pt POR,"MF,FW",Lens,22-071,2001,14.7,13,7,1,10,2,7,19,36.8,12,16,0,16,11,24,6,0,Matches
bfb2056e,Logan Costa,cv CPV,"DF,MF",Toulouse,21-350,2001,0.6,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,Matches
909222de,Nuno da Costa,cv CPV,"FW,MF",Auxerre,32-035,1991,14.4,33,17,9,17,7,8,30,26.7,22,16,0,16,12,45,8,0,Matches
2434f24a,Benoît Costil,fr FRA,GK,Auxerre,35-257,1987,19.0,2,0,2,0,0,2,4,50.0,2,0,0,0,0,2,5,0,Matches
ef8ae23b,Mathieu Coutadeur,fr FRA,MF,Ajaccio,36-362,1986,13.9,16,9,9,7,0,4,9,44.4,5,11,1,10,13,29,12,0,Matches
8f325097,Nicolas Cozza,fr FRA,DF,Montpellier,24-068,1999,14.2,38,21,27,9,2,26,36,72.2,10,11,5,6,21,59,35,1,Matches
1ec7e1c5,Damien Da Silva,fr FRA,DF,Lyon,34-304,1988,3.8,8,7,5,3,0,3,3,100.0,0,4,3,1,5,13,12,0,Matches
29c02c9f,Colin Dagba,fr FRA,DF,Strasbourg,24-189,1998,7.4,23,14,11,9,3,13,16,81.3,3,15,2,13,10,33,11,0,Matches
b70afb45,Thijs Dallinga,nl NED,FW,Toulouse,22-226,2000,17.5,7,5,2,2,3,1,8,12.5,7,10,2,8,2,9,14,0,Matches
7ef972c3,Flavius Daniliuc,at AUT,DF,Nice,21-324,2001,1.0,2,0,2,0,0,1,1,100.0,0,4,1,3,0,2,1,0,Matches
6e33125f,Kevin Danso,at AUT,DF,Lens,24-179,1998,27.0,31,16,19,11,1,15,25,60.0,10,31,23,8,28,59,92,0,Matches
fd2bc67d,Dante,br BRA,DF,Nice,39-150,1983,26.0,40,24,26,11,3,17,33,51.5,16,40,23,17,38,78,95,1,Matches
5069b796,Achraf Dari,ma MAR,DF,Brest,23-315,1999,13.8,19,14,13,5,1,13,18,72.2,5,15,10,5,18,37,59,2,Matches
ce50fd99,Jonathan David,ca CAN,FW,Lille,23-062,2000,24.4,16,11,4,7,5,7,17,41.2,10,16,2,14,5,21,12,0,Matches
5fdcb075,Thibault De Smet,be BEL,DF,Reims,24-285,1998,12.8,22,16,8,14,0,11,27,40.7,16,21,4,17,14,36,27,0,Matches
